estilo_link,nome,estilo_texto,qnt,Field4,Page_URL,Page_Title,Current_Time
Não Informada,"Wir Sind Helden
			","
			NuMetal 
			
			
				14 músicas
			
			","
				14 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/90/8918,31539.jpg",https://www.cifras.com.br/wir-sind-helden,Wir Sind Helden - cifras e tablaturas | CIFRAS,2021-07-26 15:58:33.527
,,,,,https://www.cifras.com.br/white-plains,https://www.cifras.com.br/white-plains,2021-07-26 15:58:34.263
Heavy Metal,"Holy Grail
			","
			Heavy Metal 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/holy-grail,Holy Grail - cifras e tablaturas | CIFRAS,2021-07-26 15:58:35.694
,"Anna Reis
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/anna-reis,Anna Reis - cifras e tablaturas | CIFRAS,2021-07-26 15:58:36.680
Não Informada,"Anna Reis
			","
			Não Informada 
			
			
				1 músicas
			
			",,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/anna-rossinelli,Anna Rossinelli - cifras e tablaturas | CIFRAS,2021-07-26 15:58:38.556
Gospel,"Holy Soldier
			","
			Gospel 
			
			
				3 músicas
			
			","
				3 músicas
			",,https://www.cifras.com.br/kid-wise,Kid Wise - cifras e tablaturas | CIFRAS,2021-07-26 15:58:40.708
Não Informada,"White Reaper
			","
			Não Informada 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/white-reaper,White Reaper - cifras e tablaturas | CIFRAS,2021-07-26 15:58:40.869
Gospel,"Holy Soldier
			","
			Gospel 
			
			
				3 músicas
			
			","
				3 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/holy-soldier,Holy Soldier - cifras e tablaturas | CIFRAS,2021-07-26 15:58:40.012
Não Informada,"Honey Is Cool
			","
			Não Informada 
			
			
				3 músicas
			
			","
				3 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/honey-is-cool,Honey Is Cool - cifras e tablaturas | CIFRAS,2021-07-26 15:58:42.918
Não Informada,"White Reaper
			","
			Não Informada 
			
			
				2 músicas
			
			",,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/crazy-ex-girlfriend-cast,Crazy Ex-Girlfriend Cast - cifras e tablaturas | CIFRAS,2021-07-26 15:58:42.338
Não Informada,"Depresión Sonora
			","
			Não Informada 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/depresion-sonora,Depresión Sonora - cifras e tablaturas | CIFRAS,2021-07-26 15:58:43.326
Rock Alternativo,"Whitehorse
			","
			Rock Alternativo 
			
			
				5 músicas
			
			","
				5 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/whitehorse,Whitehorse - cifras e tablaturas | CIFRAS,2021-07-26 15:58:46.648
Pop Music,"Der Nino Aus Wien
			","
			Pop Music 
			
			
				3 músicas
			
			","
				3 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/der-nino-aus-wien,Der Nino Aus Wien - cifras e tablaturas | CIFRAS,2021-07-26 15:58:47.481
Não Informada,"Niagara
			","
			Não Informada 
			
			
				6 músicas
			
			","
				6 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/181/18060,72355.jpg",https://www.cifras.com.br/niagara,Niagara - cifras e tablaturas | CIFRAS,2021-07-26 15:58:47.975
