artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Earth And Fire,Rock Alternativo,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/earth-and-fire,Koryakia
Earth And Fire,Rock Alternativo,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/earth-and-fire,Koryakia
Dana Glover,,,,https://www.cifras.com.br/a-ponte,Brasil
Naldo Inocêncio,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/naldo-inocencio,Brasil
,,,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/a-giant-dog,desconhecido
Dana Glover,,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/56/5592,119312.jpg",https://www.cifras.com.br/dana-glover,USA
B-52,Punk Rock,4,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/b-52,USA
Earth And Fire,Rock Alternativo,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/earth-and-fire,Koryakia
Banda Florentina,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-florentina,Brasil
,,,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-caracol,Brasil
B-52,Punk Rock,4,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/b-52,USA
Banda Florentina,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-florentina,Brasil
Daniel Borges,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-borges,Brasil
B-52,Punk Rock,4,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/b-52,USA
Faby Vieria,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/faby-vieria,Brasil
Fe Rossette,Diversos,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fe-rossette,Brasil
,,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dama-solitaria,desconhecido
Fabian,Oldies,9,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabian,USA
,,8,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-cesar,Brasil
Dalton Stewart,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dalton-stewart,USA
D'Masiv,Rock Alternativo,10,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dmasiv,Indonesia
Fabian,Oldies,9,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabian,USA
Dalton Stewart,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dalton-stewart,USA
,,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-doss-band,USA
Banda Cosmo Express,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-cosmo-express,Brasil
Banda Garotos do Axé,Axé Music,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-garotos-do-axe,Brasil
Daniel e José Camilo,Sertanejo,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-e-jose-camilo,Brasil
,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dalynn,USA
Daniel Freitas,Não Informada,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/493/49225,135091.jpg",https://www.cifras.com.br/daniel-freitas,Brasil
DZRT,Romântica,6,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/218/21757,172815.jpg",https://www.cifras.com.br/dzrt,Brasil
A Day At The Fair,,4,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/a-day-at-the-fair,desconhecido
Daniel Freitas,Não Informada,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/493/49225,135091.jpg",https://www.cifras.com.br/daniel-freitas,Brasil
A Friend In London,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/a-friend-in-london,Dinamarca
Daniel Freitas,Não Informada,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/493/49225,135091.jpg",https://www.cifras.com.br/daniel-freitas,Brasil
Nalini Tranquim,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nalini-tranquim,desconhecido
,,7,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/a-great-big-pile-of-leaves,USA
Daniel Gomes de Sousa,Gospel,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daniel-gomes-de-sousa,Brasil
Bafafá,Samba e Pagode,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bafafa,Brasil
B.I.G (Boys In Groove),Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/big-boys-in-groove,desconhecido
Daniel Gomes de Sousa,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/aaron-carter-and-kayla-hinkle,desconhecido
Namie Amuro,Pop Music,4,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/147/14630,88362.jpg",https://www.cifras.com.br/namie-amuro,Japão
D$ Luqi,Rap/Hip Hop,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/d$-luqi,Brasil
Bafafá,Samba e Pagode,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bafafa,Brasil
Gabriela e Raphaela,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gabriela-e-raphaela,Brasil
Gauchinhos de Deus,Pop Music,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gauchinhos-de-deus,Brasil
,,,,https://www.cifras.com.br/da-cor-do-prazer,Brasil
Fabio Alves,Gospel,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-alves,Brasil
