artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Gauchinhos de Deus,Pop Music,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gauchinhos-de-deus,Brasil
Fabio Alves,Gospel,5.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-alves,Brasil
Fabio Alves,Gospel,5.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-alves,Brasil
GAVI,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gavi,Brasil
Fabio Alves,Gospel,5.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fabio-alves,Brasil
Adiel Vieira,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/adiel-vieira,Brasil
Banda Odisséia,Pop Music,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-odisseia,Brasil
Naaran Teresina PI,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/naaran-teresina-pi,Brasil
Banda Azul e Nívea Soares,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-azul-e-nivea-soares,Brasil
Edu Ribeiro & Cativeiro,Não Informada,12.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-ribeiro-cativeiro,Brasil
Banda Azul e Nívea Soares,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-azul-e-nivea-soares,Brasil
Nathalie Colen,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathalie-colen,Brasil
Banda Bob Simon,Não Informada,4.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-bob-simon,Brasil
Edu Sereno,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-sereno,Brasil
Caio Mendes,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-mendes,Brasil
D Karvalho,Reggae,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/d-karvalho,Brasil
Davison e Robson,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/davison-e-robson,Brasil
Caio Victor,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-victor,Brasil
Caio Victor,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-victor,Brasil
Edu e Mayra,Espíritas,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-e-mayra,Brasil
Edu e Mayra,Espíritas,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-e-mayra,Brasil
Edu e Mayra,Espíritas,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-e-mayra,Brasil
Cagério de Souza,Infantis,25.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/cagerio-de-souza,Brasil
Eden Ministry,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eden-ministry,Brasil
