Position,"Track Name",Artist,URL
1,"Hard For Me","Michele Morrone",https://open.spotify.com/track/00PesUdTmC3Y5xtZbZND0p
2,"Feel It","Michele Morrone",https://open.spotify.com/track/1sntdOU6b9fMuUOm3NPIuY
3,"Na Raba Toma Tapão",Niack,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
4,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
5,"Watch Me Burn","Michele Morrone",https://open.spotify.com/track/3hiXR95RrJCaYqykCQmYLH
6,"Do It","Chloe x Halle",https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
7,"Comprei um Lança","Mc Jacaré",https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
8,"Mega Da Dance Monkey","Dj Nattan",https://open.spotify.com/track/0h1RIKN7wFdAxLlaUX5NCQ
9,"Oh Juliana","Mc Niack",https://open.spotify.com/track/0sbpd1Grr3dSKmc6FVMN0L
10,"Dream Girl","Ir Sais",https://open.spotify.com/track/2Sla5cgNpVoRcckYjaAMKP
11,"Marília Mendonça",BIN,https://open.spotify.com/track/1CBjYXLotHrkiykMbI7EaU
12,"Stunnin' (feat. Harm Franklin)","Curtis Waters",https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
13,Resgate,"André Nine",https://open.spotify.com/track/2Eg9fqMi2VbGu9Sp3ClNZj
14,"Só Colocadinha (feat. Mc Dricka) - Remix Bregafunk","O Playboy",https://open.spotify.com/track/5CgU3lKeuBBdNZ4HFQ0Bvv
15,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
16,"Deus é por nós","MC Marks",https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
17,"Dark Room","Michele Morrone",https://open.spotify.com/track/2kf6JUfyPIvTi63HmDu4VV
18,"Pontos de Exclamação","Jovem Dionisio",https://open.spotify.com/track/2mlsK27VNUj8y08BvtIbXu
19,"Rap Da Akatsuki: Os Ninjas Mais Procurados Do Mundo (Nerd Hits)","7 Minutoz",https://open.spotify.com/track/2iNZMMFEii4fU827NTyQ1J
20,"Finish Line","SATV Music",https://open.spotify.com/track/4ZoUJljhs6YSj0bEAt0Zi8
21,"Vai Ter Que Aguentar","Mc Don Juan",https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
22,Mimada,"André Nine",https://open.spotify.com/track/1i68M47E487gPbgEJ5FPwY
23,"Rain In The Heart","Michele Morrone",https://open.spotify.com/track/4NP4qr1HngsNfBvKdcJOeu
24,"ANGELS & DEMONS",jxdn,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
25,"Vergonha pra Midia","Salvador Da Rima",https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J
26,Prisoner,"Raphael Lake",https://open.spotify.com/track/14YkNhtwblvxRzsx47gyKC
