Position,"Track Name",Artist,URL
1,"Esquema Preferido","DJ Ivis",https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
2,Hylander,Abbot,https://open.spotify.com/track/3sOcmmmWB7dqyziUVLXpTi
3,"drivers license","Olivia Rodrigo",https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
4,"Me Toca","Marina Sena",https://open.spotify.com/track/2uSeVS09DW8FnBgc61eHDW
5,Xerecard,"Jeff Costa",https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
6,"Palma da Mão no Chão","Gil Bala",https://open.spotify.com/track/154QfOKWIyhVQSSYekGaVY
7,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
8,"What A Shame","Leyla Blue",https://open.spotify.com/track/7FGIEAVXfegxngH9Jg6VwA
9,"Hadal Ahbek","Issam Alnajjar",https://open.spotify.com/track/0ymn3NBfT1W2QW0d7U5kHS
10,"LUAZUL #1 (feat. Casluh e Pelé Milflows) - Acústico","Belle Kaffer",https://open.spotify.com/track/2SEibS7eqm4HCJrmSJLsyq
11,M4,Teto,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
12,"Deus Me Proteja","Chico César",https://open.spotify.com/track/4Ijct6HkKsC9HQVgcnMe7C
13,"Weightless Part 1","Marconi Union",https://open.spotify.com/track/2UZZtkoLOg7IHxeTAdPFvd
14,"Coração Gelado","DJ BOY",https://open.spotify.com/track/6pCjA2lKzvMGOeOzde3kEl
15,"Camisa do Flamengo","MC Meno K",https://open.spotify.com/track/7AjPEsSw5XH8Prczu0ADY6
16,"Pedaço de Mim",OIK,https://open.spotify.com/track/2fEgPCDD0qRvZeVrY381EW
17,Defenceless,"Louis Tomlinson",https://open.spotify.com/track/74YzCrLzu7fw0AasX3CEwv
18,"Seu Ex Ta Nervoso Demais","Mc Dudu Sk",https://open.spotify.com/track/5iSs0h9KT1zlfuhRrSXfik
19,Paparazzi,"Kim Dracula",https://open.spotify.com/track/3rchFjeKZ0bJxO7EEdM3S5
20,Bora,"Forró Cintura de Mola",https://open.spotify.com/track/7Cniv2qCXbzrJSfxLXZt38
21,"Anota Placa","Tz da Coronel",https://open.spotify.com/track/3QUriWUE8WnWLpWxHA52k4
22,"Eu e o Bofe Dela","Rodrigo Fox",https://open.spotify.com/track/22vjon8i8MImnDSIhMtYlz
23,"Facas - Ao Vivo","Diego & Victor Hugo",https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
24,"Acabou a Água (feat. Mc Ygor Yanks)","MC 3L",https://open.spotify.com/track/7jFEykLSATTBHLCJXikHmD
25,"Não Te Quero",NATTAN,https://open.spotify.com/track/3rnso1KNGrkXfqNTlBXdPH
26,"Esse é o melhor Rap do Levi",Byakuran,https://open.spotify.com/track/0TIL1uiTx69oaBUOSZZBXS
27,Streets,"Doja Cat",https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
28,"Save Your Tears","The Weeknd",https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
29,Saturno,BIN,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
30,"Camisa do Grêmio","MC Meno K",https://open.spotify.com/track/2rXIj8SkYrAWQ4Dn2oiupk
31,"I'm not Pretty",JESSIA,https://open.spotify.com/track/3promGTTwsn1N5D6RzaFMV
32,"Matéria de Hoje","Bonde do gato preto",https://open.spotify.com/track/4pMXDXKX3Bsc5zWh8YuGiV
33,"Cabra da Peste",Welisson,https://open.spotify.com/track/2CB02WJ95aUuHcxQtt0gOV
34,"Até Na Transa Você Não Larga o Lança","Mc Kitinho",https://open.spotify.com/track/00I29V4jIc7hAifIn1mtnb
35,Mds,Kawe,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
36,"É Melhor Ser Piranha do Que Ser Infeliz","Mc G7",https://open.spotify.com/track/0JLnV5oPXJ0gnk93k0LQyz
37,"The Box Medley","THE BOX",https://open.spotify.com/track/3x5kMjAkFbjEtL1aB7LvZd
38,"Golpe Trocado","Mc Frog",https://open.spotify.com/track/0nGOQOcurYXEWKcWi2ZrQo
39,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
40,Jealous,Eyedress,https://open.spotify.com/track/5KbTBSGUvgDg75gIVhUaAW
41,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
42,"Apaga Luz, Apaga Tudo - Challenge","DJ TN Beat",https://open.spotify.com/track/0v192IDdClYsae1YWxhTO9
43,"Good Days",SZA,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
44,"Nega Chegando","O Boy da Seresta",https://open.spotify.com/track/5XyDFMwY1NTIlkbzcfVyl3
45,"I Am (feat. Flo Milli)","Yung Baby Tate",https://open.spotify.com/track/0y22KKdjAYJIWywFAH4UPU
46,Privilégio,"MC Luan da BS",https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
47,"Ô Moça","MC Zaquin",https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
48,"Buss It","Erica Banks",https://open.spotify.com/track/25j0Sape7qZbq6ZPLFefTT
49,"De 1 Até 3","João Figueiredo",https://open.spotify.com/track/6F5xSGfgWc0ti0FTlzuRZ4
50,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
