Position,"Track Name",Artist,URL
1,"Amor ou o Litrão","Petter Ferraz",https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
2,"Eu vou tirar você do cabaré","Israell Muniz",https://open.spotify.com/track/3yBOCItZQIjGV0PT5UJCeS
3,"Basta você me ligar - English Version","Kim Sola",https://open.spotify.com/track/3qBYNGry835B4vy4IV29AG
4,"Space Girl","Frances Forever",https://open.spotify.com/track/5tfZ1uYrArdbDqiZ7z1aCE
5,"Ilusão (Cracolândia)","MC Hariel",https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
6,Home,"Edith Whiskers",https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR
7,"Dancing in My Room",347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
8,"Visão de Futuro",Abbot,https://open.spotify.com/track/2RjvQychgHPcxpghmP2p9s
9,"Jenny (I Wanna Ruin Our Friendship)","Studio Killers",https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
10,"Just the Two of Us","Grover Washington, Jr.",https://open.spotify.com/track/5fdNHVZHbWB1AaXk4RBGVD
11,Cabaré,"Nêgo Jhá",https://open.spotify.com/track/3NYdvUDBa2Y5UNhqH4INC1
12,Letícia,"Zé Vaqueiro",https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
13,"Sentimento Seu Nenhum","DJ Lucas Beat",https://open.spotify.com/track/74mDE76hPSE74NkqqJk4Ke
14,"Lance Individual","Jorge & Mateus",https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
15,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv
16,"Faz a Pose","MC Teteu",https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
17,"Breca novinha no grau","MC 7Kssio",https://open.spotify.com/track/7lkuh36jAFdN8I5f0Kq3uq
18,"Maçã Verde","MC Hariel",https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
19,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
20,"Todavia Me Alegrarei","Sarah Netto",https://open.spotify.com/track/58fEepDcdSr6vSyU6sujJ3
