Position,"Track Name",Artist,URL
1,Alívio,"Jessé Aguiar",https://open.spotify.com/track/40KZgKCIvRVIoZqv9lNBoP
2,"Na Ponta do Pé - Brega Funk","Nadson O Ferinha",https://open.spotify.com/track/4VBhrKEJ9nWzaiyhM5L9ic
3,"Sofa, Breja e Netflix","Mac Júlia",https://open.spotify.com/track/6eIZaT9qNz9lVrhWbJOWls
4,Bipolar,"Mc Davi",https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
5,"Volta Bebê, Volta Neném","Dj Guuga",https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
6,"Deixa Eu Falar pra Você","Josué Bom de Faixa",https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
7,"A Lua E Eu",Cassiano,https://open.spotify.com/track/0wsRJ7rCEZMHjuCPSdajPG
8,"After School",Weeekly,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
9,"Pike - Illusionize Remix",Confesser,https://open.spotify.com/track/5ZiFm8sWAKOImqyELd9Qqz
10,Onda,Cassiano,https://open.spotify.com/track/2ufnnZAVCoEoShQjdRgwS1
11,"Toma Vagabunda Pirocada de Bandido","DJ Helinho",https://open.spotify.com/track/3nW0f94rw9LczMii8N8fww
12,"Tipo Gin - Ao Vivo","MC Kevin o Chris",https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
13,"BEAT DO AKON (Funk Remix)","Dj Vm",https://open.spotify.com/track/2Z0ndOPDVXKENAVeQeced9
14,"Vida Louca","Mc Poze do Rodo",https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
15,ASAP,STAYC,https://open.spotify.com/track/5BXr7hYZQOeRttkeWYTq5S
16,"Baby Me Atende","Matheus Fernandes",https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
17,Coleção,Cassiano,https://open.spotify.com/track/1cie8Kh2zfvvOcstv5gly2
18,"A Pedido Da Tropa Do Serrão","Dj Sammer",https://open.spotify.com/track/65QW79aRKnyZdfZYxbFJ02
19,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
20,"Eu Sou O Mestre Dos Magos","DJ GRZS",https://open.spotify.com/track/132wAeR05o10R9iSjA1XAE
21,"Carinha de BBzinha","Anderson Rodrigues",https://open.spotify.com/track/4lgEYHlFKx9lNuBH1NjFPk
22,"Trajado de Glock Ela Joga na Cara","Tz da Coronel",https://open.spotify.com/track/2dcYBsq0wTqkJIlfNMGfrR
23,"deja vu","Olivia Rodrigo",https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
24,"Deus Me Proteja","Chico César",https://open.spotify.com/track/4Ijct6HkKsC9HQVgcnMe7C
25,"Kiss Me More (feat. SZA)","Doja Cat",https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
26,Runaway,AURORA,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
27,Freaks,"Surf Curse",https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
28,"Love Tonight - Vintage Culture & Kiko Franco Remix Edit",Shouse,https://open.spotify.com/track/53ICqRSyTfhrrvNwVSP6am
29,"O Carpinteiro (Conto de Fadas)",NATTAN,https://open.spotify.com/track/084XFobv6FZRHHw6mEYJdU
30,YKWIM?,"Yot Club",https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
31,"Leave The Door Open","Bruno Mars",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
