Position,"Track Name",Artist,URL
1,"Tudo Ok","Thiaguinho MT",https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
2,"Tua Presença","Gabi Oliveira",https://open.spotify.com/track/4Pbm0daFz5Y8PRKmgHkFRI
3,"Vem Me Satisfazer","MC Ingryd",https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
4,"Sequencia de Vapo Vapo","Biu do Piseiro",https://open.spotify.com/track/519byFSpKoRvsDbYcDBFwD
5,Virgem,"MC Lya",https://open.spotify.com/track/0DwzQguiWvB8jJonQ5ewJu
6,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
7,"Graveto - Ao Vivo","Marília Mendonça",https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
8,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
9,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,"Rave Jogando o L","Mc Gw",https://open.spotify.com/track/0AVDN1LiDn0abh39xqDRtQ
11,"Me Desculpa Pai, Me Desculpa Mãe (feat. Dj Digo Beat) - Remix Digo Beat","MC Bruna Alves",https://open.spotify.com/track/1ipiDzNe3oxmXbURsgyczF
12,"Passinho dos Anos 80","Mc Vó",https://open.spotify.com/track/3sZn8zO8S9cGtN8mI1ISSM
13,"Joke's On You","Charlotte Lawrence",https://open.spotify.com/track/2D0FX6WiP1GKGL3yCdXxs7
14,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
15,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
16,Bambolê,"Camila Loures",https://open.spotify.com/track/1mXgYpwge3J5qFkRAHQFZ9
17,"Weightless Part 1","Marconi Union",https://open.spotify.com/track/2UZZtkoLOg7IHxeTAdPFvd
18,Girassol,"Priscilla Alcantara",https://open.spotify.com/track/22rcaYTa2UgcLCbeO0NoNj
19,"Bota, Tira","Jefinho jp",https://open.spotify.com/track/6EFoHj4v8EgyUiF9RdfpU0
20,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
21,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
22,"Planos Impossíveis","Manu Gavassi",https://open.spotify.com/track/7McyzZgkENYJkn4x6S2RvR
23,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
24,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
25,SENTADÃO,"PEDRO SAMPAIO",https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
26,"Life Is Good (feat. Drake)",Future,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
27,"Ak do Flamengo",Borges,https://open.spotify.com/track/0LZkDuucd7c8eAaj9S4RJR
28,"Godzilla (feat. Juice WRLD)",Eminem,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
29,"Volta por Baixo - Ao Vivo","Henrique & Juliano",https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
30,"Black Swan",BTS,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
31,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
32,"música secreta","Manu Gavassi",https://open.spotify.com/track/7ErBvwbJZPlaIR2grjmexC
33,"Don't Start Now","Dua Lipa",https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
34,"Fatalmente / Separação / Temporal - Ao Vivo","Grupo Menos É Mais",https://open.spotify.com/track/0mpqoslgBvHcnbNZhK8wBO
35,"Forçar a Barra - Ao Vivo","Netto & Henrique",https://open.spotify.com/track/6NbZAoN0G9hU3zipeY57v6
36,"Fuck Me Baby","Mc Naninha",https://open.spotify.com/track/5oLne1izbXrLid8q6MVNzW
37,Farsa,"Manu Gavassi",https://open.spotify.com/track/30UrMLAtCnrHxCDxKktahR
38,Cracudo,Tierry,https://open.spotify.com/track/456nQoGd4zPrJtfeugR221
39,"Joga Sua Potranca","Dj Gabriel do Borel",https://open.spotify.com/track/1gsWgGZvy4waIfWPuctvRU
40,"Porta Mala","Os Parazim",https://open.spotify.com/track/7vZqxuOvEwRHsGVaDykzpY
41,"Ninguém Vive de Fama (feat. DJ Lukinha da Inestan)","MC Xenon",https://open.spotify.com/track/3y1hKt8iauRuzmh6TGDpf3
42,"Any song",ZICO,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
43,"Bate Palma","MC JottaPê",https://open.spotify.com/track/7offICpl9kla5kC61uUAs9
44,"menina solta","GIULIA BE",https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
45,"Sou Vitorioso","Mc Lele JP",https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD
46,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
47,"S de Saudade","Luíza & Maurílio",https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
48,"Neném - Ao Vivo","Gabi Martins",https://open.spotify.com/track/2Yz14TQlxNXHmnkml4TyDL
49,Surtada,"Biu do Piseiro",https://open.spotify.com/track/0ahUgJzMq5qhGwfz7FUixb
