Position,"Track Name",Artist,URL
1,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
2,"Don't Rush (feat. Headie One)","Young T & Bugsey",https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
3,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
4,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
5,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
6,"Astronomia 2K19 - Radio Edit","Stephan F",https://open.spotify.com/track/56Z3lLPTcozYkoAl9HsQLI
7,XS,"Rina Sawayama",https://open.spotify.com/track/3OK3uq0udXEDfEo7bvpNHW
8,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
9,Cabaré,"Dj Guuga",https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
10,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
11,"Vê Se Não Demora",BlakkStar,https://open.spotify.com/track/7z5m1d4eBZrMxtVjZfr0D0
12,BRABA,"Luísa Sonza",https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
13,"Toosie Slide",Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
14,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
15,"boa memória - ao vivo","Luan Santana",https://open.spotify.com/track/79BHjj4YkvbpOlMvG6wf3n
16,"Vai Luan, Rainha dos Faixa Preta","Mc Brunyn",https://open.spotify.com/track/2epD7jzjNfrQYxdSaODCvF
17,"Noite das Safadas","Mc Thay RJ",https://open.spotify.com/track/7MzrIZwgEyxTR80QLrzqvm
18,"O Amor Que Tu Perdeu",Mila,https://open.spotify.com/track/3VQF7gLCASQQ3lQkOnFBhz
19,LMK,"Lil Xxel",https://open.spotify.com/track/0efL46uAuNEfukXQYsbPlX
20,"áudio de desculpas","Manu Gavassi",https://open.spotify.com/track/1JP3iGUerYKKYQwXGQGYks
21,"Break My Heart","Dua Lipa",https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
22,"Tudo Aconteceu","MC Du Black",https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
23,Savage,"Megan Thee Stallion",https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
24,"Don't Start Now","Dua Lipa",https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
25,Glockada,"NGC Daddy",https://open.spotify.com/track/4f3e6HRUIu5Ub2mcwu8god
26,"Sweet Night",V,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp
27,"Falei de você pra minha mãe","Elana Dara",https://open.spotify.com/track/33b5dsChMBIwsSwMqYm0wZ
28,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
29,"Ainda Tô Aí - Ao Vivo","Eduardo Costa",https://open.spotify.com/track/0uaR51nHWtVrVPOFPeGyDq
30,"Oh my god",(G)I-DLE,https://open.spotify.com/track/2DmRXiyn03tOqKgEJXlaiJ
31,"Cup of Coffee",bearbare,https://open.spotify.com/track/27OVHIrX5WutMqV1N4hD2G
32,"SICKO MODE","Travis Scott",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
33,"This City","Sam Fischer",https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
34,Phonesex,"YUNG LIXO",https://open.spotify.com/track/4j8wAu6Rvcbb7JTihp4AYk
35,"Poesia Acústica - Paris","Pineapple StormTv",https://open.spotify.com/track/5JKaHAt4atuNoLqpyDgbyK
36,"Despedida - Ao Vivo","Wesley Safadão",https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
37,Lento,"Lauren Jauregui",https://open.spotify.com/track/5JoV39MFYbvWZwJlxq2722
38,"Eu Já Peguei Coisa Pior",Tierry,https://open.spotify.com/track/17axpBLThItACKLQGaJbyf
39,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
40,Vienna,"Billy Joel",https://open.spotify.com/track/4U45aEWtQhrm8A5mxPaFZ7
41,goosebumps,"Travis Scott",https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
42,"Só Uma Noite","Fabio Brazza",https://open.spotify.com/track/6UzHlvFqdBWe8DWJfSqgXf
43,"Walk Em Down (feat. Roddy Ricch)","Roddy Ricch",https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
44,"Boss Bitch","Doja Cat",https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
45,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
46,"Eu Achei","MC Paulin da Capital",https://open.spotify.com/track/2FobXEdlDa7i5JqLYVguhy
47,"just a boy","Alaina Castillo",https://open.spotify.com/track/2fAeROYFSbWdvML6rbnCar
48,"Ok Baby",Japa,https://open.spotify.com/track/6EHSC5FGDVtL3LPcHkZQCi
49,"Enseñame a Quererte","Rebeldia RBD",https://open.spotify.com/track/3hoYp04IQLLeOnCzBLceR6
50,"Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version","Anna Kendrick",https://open.spotify.com/track/2sCl0FFOzZSmYZs90zOpd1
