Position,"Track Name",Artist,URL
1,"Sofa, Breja e Netflix","Mac Júlia",https://open.spotify.com/track/6eIZaT9qNz9lVrhWbJOWls
2,"Na Ponta Do Pé","Nadson O Ferinha",https://open.spotify.com/track/7KdfRfSAIOiNk95sfFhmWB
3,Alívio,"Jessé Aguiar",https://open.spotify.com/track/40KZgKCIvRVIoZqv9lNBoP
4,"Volta Bebê, Volta Neném","Dj Guuga",https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
5,"Deixa Eu Falar pra Você","Josué Bom de Faixa",https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
6,"Vida Louca","Mc Poze do Rodo",https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
7,"BEAT DO AKON (Funk Remix)","Dj Vm",https://open.spotify.com/track/2Z0ndOPDVXKENAVeQeced9
8,"After School",Weeekly,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
9,"Linda Bela - Ao Vivo","Elias Monkbel",https://open.spotify.com/track/354mVxDquP5bQK7rUz6Omy
10,"Baby Me Atende","Matheus Fernandes",https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
11,"Meu Pisêro","DUDA BEAT",https://open.spotify.com/track/2vaRBe7rRW8dBszITsPzYU
12,"Disco Arranhado - Funk Remix",Malu,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
13,"A Pedido Da Tropa Do Serrão","Dj Sammer",https://open.spotify.com/track/65QW79aRKnyZdfZYxbFJ02
14,"Carinha de BBzinha","Anderson Rodrigues",https://open.spotify.com/track/4lgEYHlFKx9lNuBH1NjFPk
15,"Espirra o Lança","Dj Serpinha",https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
16,Runaway,AURORA,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
17,"MONTERO (Call Me By Your Name)","Lil Nas X",https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
18,"Eu Sou Pinxadão","DJ Glm",https://open.spotify.com/track/0KHDtDUSagOHmkdOKWIbzi
19,"deja vu","Olivia Rodrigo",https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
20,YKWIM?,"Yot Club",https://open.spotify.com/track/7ejeQLLLGjVriLS7cojERB
21,"Eu Catuquei Vs Magrão (feat. DJ GBS)","DJ Patrick Muniz",https://open.spotify.com/track/7CWx8dCv58ZqcTV2DeqpEB
22,"Preta do Cabelo Cacheado","Th CDM",https://open.spotify.com/track/3lJ8BcGM1ROQ1ufneU3Qya
23,"I Hear a Symphony","Cody Fry",https://open.spotify.com/track/3iJya7m7trpGv570Ske30n
24,"Leave The Door Open","Bruno Mars",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
25,"Novinho do Pirocão - Remix","MC Marley",https://open.spotify.com/track/440H9FZyqniKrrA6yYEw2b
26,"Love Tonight - Vintage Culture & Kiko Franco Remix Edit",Shouse,https://open.spotify.com/track/53ICqRSyTfhrrvNwVSP6am
27,"Liberdade (Quando o Grave Bate Forte)",Alok,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
28,"ghost town (voice memo)","Chloe George",https://open.spotify.com/track/0PKAijroHpnEtdY20bkGdr
29,"Pega o Pato","Chinem O Safadim",https://open.spotify.com/track/7pCi8vdCpINUgumRcHxYHJ
30,"AK47 É o Porte do Homem","MC Torugo",https://open.spotify.com/track/5HdghQzJVbvkZuMyvj2k34
31,"Rebola Lentinho","Mc Kaio",https://open.spotify.com/track/3bcJIkPhkmoiF31lcHZ96t
32,"Além do Dinheiro","Filipe Ret",https://open.spotify.com/track/7qLM93TElkbHLnLBNviq3y
33,"Heartbreak Anniversary",Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
34,"Tapão Na Raba","Raí Saia Rodada",https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
35,"Set Dj ws da Igrejinha","DJ Ws da Igrejinha",https://open.spotify.com/track/3a4P2Up3taZ42LKKa4M2gk
36,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
37,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
38,"Volta Comigo BB","Zé Vaqueiro",https://open.spotify.com/track/2N2MrTCpwNQdbvlk0Kmz3c
39,Paradigmas,"Jorge & Mateus",https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
40,Chá,"REAL PS",https://open.spotify.com/track/1jmKwXRbjrFLnjxQ32GizK
41,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
42,"Cloud 9","Beach Bunny",https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
43,"Tú Já Sabe O Macete","Dj Rayan",https://open.spotify.com/track/3Xm6YmdAY0zj71QynzTdrw
44,"Preta do Cabelo Cacheado","Mc Don Juan",https://open.spotify.com/track/0Ve3XWcrsgy90xo0UL2syx
45,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
46,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
47,"Slumber Party (feat. Princess Nokia)",Ashnikko,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
48,"Anota Placa","Tz da Coronel",https://open.spotify.com/track/3QUriWUE8WnWLpWxHA52k4
49,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
50,"Ritmo Envolvente","DJ Menor 7 DJ Menor da Dz7",https://open.spotify.com/track/64112Wjl20AyJnCP5umn3F
