Position,"Track Name",Artist,URL
1,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
2,"Carnaval Chegando - Ao Vivo","Rennan da Penha",https://open.spotify.com/track/4A8LKlysJXq8swPVDPd0xH
3,"Foi Bate Bate","DJ Guih Da ZO",https://open.spotify.com/track/1eR1tzYwcZV1LecqLnrPEA
4,"Tudo Ok","Thiaguinho MT",https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
5,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,Virgem,"MC Lya",https://open.spotify.com/track/0DwzQguiWvB8jJonQ5ewJu
7,"Churrasco em Família","MC Murilo MT",https://open.spotify.com/track/3WOBHweI5jdv3SLi2Lo9vK
8,Vibe,"Cookiee Kawaii",https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
9,"Vem Me Satisfazer","MC Ingryd",https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
10,"Comme des Garçons (Like the Boys)","Rina Sawayama",https://open.spotify.com/track/7pecljF8iq39fpYlQvuioL
11,"Tua Presença","Gabi Oliveira",https://open.spotify.com/track/4Pbm0daFz5Y8PRKmgHkFRI
12,"Litrão - Ao Vivo","Matheus & Kauan",https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
13,"BALANÇA (feat. Pedro Sampaio)","WC no Beat",https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
14,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
15,"O Maestro dos Fluxos","DJ Ery",https://open.spotify.com/track/0yq4hmZV3SUzaLrvqOe00e
16,"Sequencia de Vapo Vapo","Biu do Piseiro",https://open.spotify.com/track/519byFSpKoRvsDbYcDBFwD
17,"Viradouro De Alma Lavada",Viradouro,https://open.spotify.com/track/3932tbXcr0eeX1jUdSVUwi
18,Bambolê,"Camila Loures",https://open.spotify.com/track/1mXgYpwge3J5qFkRAHQFZ9
19,"Rave Jogando o L","Mc Gw",https://open.spotify.com/track/0AVDN1LiDn0abh39xqDRtQ
20,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
21,"Te Prometo",DENNIS,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
22,"A Verdade Vós Fará Livre","Estação Primeira de Mangueira",https://open.spotify.com/track/5AYXQlGmPdcROldykbHcgZ
23,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
24,"Se Essa Rua Fosse Minha","Beija Flor de Nilópolis",https://open.spotify.com/track/14ubCt6dmC7WTl5Nk21zPT
25,"Bota, Tira","Jefinho jp",https://open.spotify.com/track/6EFoHj4v8EgyUiF9RdfpU0
26,"Caiu na Rede/ O Teu Cabelo Não Nega/ Atirei o Pau no Gato","Banda Rio-Ipanema",https://open.spotify.com/track/13g9ZrbNd5KNfKoD6ZqxPK
27,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
