Position,"Track Name",Artist,URL
1,"Astronomia 2K19 - Radio Edit","Stephan F",https://open.spotify.com/track/56Z3lLPTcozYkoAl9HsQLI
2,"Don't Rush (feat. Headie One)","Young T & Bugsey",https://open.spotify.com/track/1d1n5KjW6aH9ItdA8WmlWW
3,"Vai Luan, Rainha dos Faixa Preta","Mc Brunyn",https://open.spotify.com/track/2epD7jzjNfrQYxdSaODCvF
4,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
5,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,Astronomia,Vicetone,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
7,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
8,BRABA,"Luísa Sonza",https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
9,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"Falei de você pra minha mãe","Elana Dara",https://open.spotify.com/track/33b5dsChMBIwsSwMqYm0wZ
11,"Neném - Ao Vivo","Gabi Martins",https://open.spotify.com/track/2Yz14TQlxNXHmnkml4TyDL
12,"Sweet Night",V,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp
13,"O Amor Que Tu Perdeu",Mila,https://open.spotify.com/track/3VQF7gLCASQQ3lQkOnFBhz
14,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Skechers,DripReport,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
16,Lento,"Lauren Jauregui",https://open.spotify.com/track/5JoV39MFYbvWZwJlxq2722
17,Coronavirus,iMarkkeyz,https://open.spotify.com/track/1QboqlLbKsUvQRohea6KaE
18,"Lá Vem o Brasil Descendo a Ladeira","Moraes Moreira",https://open.spotify.com/track/1tiCah4o6YU14touoenzBr
19,"Procuro Alguém (prod. Coyote Beatz)",Djonga,https://open.spotify.com/track/0iCOIAN5PaXnATuKkzTVNx
20,Savage,"Megan Thee Stallion",https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
21,Cabaré,"Dj Guuga",https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
22,"Don't Start Now","Dua Lipa",https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
23,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
24,"Set You Free - Main Theme From ""Toy Boy""",REYKO,https://open.spotify.com/track/0OOlmKW7Tn7FyeKDwNzEqN
25,"Dance Monkey (8D Audio)","8D Tunes",https://open.spotify.com/track/4KgAFt6Tt4E96poxgq5dVJ
26,WANNABE,ITZY,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
27,"Ti amo","Umberto Tozzi",https://open.spotify.com/track/5Gz9p2oDVHNHLoQOPHzaXm
28,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
29,"Boss Bitch","Doja Cat",https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
30,"So Pra Mim","Sarita Lorena",https://open.spotify.com/track/28k96IoZj58awechduJoWV
31,"Vê Se Não Demora",BlakkStar,https://open.spotify.com/track/7z5m1d4eBZrMxtVjZfr0D0
32,Ranking,"Jorge & Mateus",https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
33,"Te Prometo",DENNIS,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
34,"Poesia Acústica - Paris","Pineapple StormTv",https://open.spotify.com/track/5JKaHAt4atuNoLqpyDgbyK
35,"In Your Eyes","The Weeknd",https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
36,"Bad Decisions","The Strokes",https://open.spotify.com/track/55N8cxpE1QDoeaaNqUnoZ2
37,"Come Together","Now United",https://open.spotify.com/track/2OVNBbPqoktC11yqbCDgV3
38,Sintonia,"Moraes Moreira",https://open.spotify.com/track/2xPY8vy1JQHMpGfXGxN6uL
39,"Tudo no Sigilo","Dj Pedro Henrique",https://open.spotify.com/track/0w8CkNkEsZNdXHrJZId3kj
40,"áudio de desculpas","Manu Gavassi",https://open.spotify.com/track/1JP3iGUerYKKYQwXGQGYks
41,"boa memória - ao vivo","Luan Santana",https://open.spotify.com/track/79BHjj4YkvbpOlMvG6wf3n
42,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
43,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
44,"Manda Áudio (Ao Vivo)","Di Propósito",https://open.spotify.com/track/5wnbp7K9kx0YJtENdmnz9q
45,"Litrão - Ao Vivo","Matheus & Kauan",https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
46,"100 Ways","Jackson Wang",https://open.spotify.com/track/4mQMvcRtQou5yI8mjuJ1lf
47,"Tudo Aconteceu","MC Du Black",https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
48,Forever,CHVRCHES,https://open.spotify.com/track/1QHzf28GKB4xblsVPS6LPs
49,"Otro Dia Que Va","R.B.D Rebeldia",https://open.spotify.com/track/2E80d4kW7GDWdlXD0ElYSp
50,"Bate Com Vontade","Hugo Mesquita",https://open.spotify.com/track/2tq0N3S4u5lUyahpaSMOve
