Position,"Track Name",Artist,URL
1,"Nega Chegando","O Boy da Seresta",https://open.spotify.com/track/5XyDFMwY1NTIlkbzcfVyl3
2,"Mtg - Vem sentando vem","Dj Nbeat",https://open.spotify.com/track/2afirRVDfxKW1gKFc5HqHM
3,,,https://open.spotify.com/track/74kCf4Yd2jr91yinngEt0P
4,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
5,Paypal,"Teto Mc",https://open.spotify.com/track/1PIiIVeacU0Fj7Rm9lFlsx
6,Xerecard,"Jeff Costa",https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
7,"Tapão Nervoso","Jheo Chavoso",https://open.spotify.com/track/233lqmrvWyIC7u5GiAnTV4
8,"Amor ou o Litrão","Petter Ferraz",https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
9,"Faz a Pose","MC Teteu",https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
10,Mmmh,KAI,https://open.spotify.com/track/5dntGTbUtmUO239wQ0k3yM
11,"Tô Fumando um Chá","MC Nandinho",https://open.spotify.com/track/7aOPf0C61Y85RPdBgxcKoW
12,"Seda Rosa (Ela Ta Fumando um Chá Com a Seda Rosa)","Biel Beats",https://open.spotify.com/track/4Gp8unxnyrcxBwoh1mSUAa
13,"Desce Deslizando","Lucas Boquinha",https://open.spotify.com/track/6aDqYcjhuG3U22JCQxSM6J
14,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv
15,"Não Te Quero",NATTAN,https://open.spotify.com/track/5RoJxfgXCkvDKzNbXZgUb4
16,"What A Shame","Leyla Blue",https://open.spotify.com/track/7bAOw0ew6Am7mlGNZjmtwP
17,"25 É Natal, 31 É Ano Novo (feat. MC GW)","Barca Na Batida",https://open.spotify.com/track/1tymhVit98PMV3xy7GBAyY
18,"Quer Esquecer sua Ex Mulher Vem Pro Cabaré","Nêgo Jhá",https://open.spotify.com/track/3xBYCXi1LBsQPGE08M3iAP
19,"Eu Vou Tirar Você Do Cabaré","Israell Muniz",https://open.spotify.com/track/4dkMmfrNEIUMjoEIFHA2yy
20,"Acabou a Água (feat. Mc Ygor Yanks)","MC 3L",https://open.spotify.com/track/7jFEykLSATTBHLCJXikHmD
21,"Magrão do Wagner 2 (feat. MC GW, MC Denny & MC VN 085)","MC Renatinho Falcão",https://open.spotify.com/track/0SAmedjEENlUIGfmJggGWf
22,Mds,Kawe,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
23,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
24,"Maçã Verde","MC Hariel",https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
25,Saturno,BIN,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
26,"Golpe Trocado","Mc Frog",https://open.spotify.com/track/0nGOQOcurYXEWKcWi2ZrQo
27,Given-Taken,ENHYPEN,https://open.spotify.com/track/69WpV0U7OMNFGyq8I63dcC
28,Maracujá,"Luke Diamante",https://open.spotify.com/track/3SrYAuXEGQJD0EbAT6wmOB
29,"Esquema Preferido","DJ Ivis",https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
30,Home,"Edith Whiskers",https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR
31,"Amor ou o Litrão - Brega Funk",Mila,https://open.spotify.com/track/4WcskbAX3wImaennFI79Ll
32,"Pedaço de Mim",OIK,https://open.spotify.com/track/2fEgPCDD0qRvZeVrY381EW
33,"Touch You",遠野高志,https://open.spotify.com/track/6qWEpnyU43Bcrx3vfbGuVm
34,"Ele É Ele, Eu Sou Eu","Wesley Safadão",https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
35,"Facas - Ao Vivo","Diego & Victor Hugo",https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
36,"Hecha Pa' Mi",Boza,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
