Position,"Track Name",Artist,URL
1,"Camisa do Flamengo","MC Meno K",https://open.spotify.com/track/7AjPEsSw5XH8Prczu0ADY6
2,Xerecard,"Jeff Costa",https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
3,M4,Teto,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
4,"Camisa do Grêmio","MC Meno K",https://open.spotify.com/track/2rXIj8SkYrAWQ4Dn2oiupk
5,"Esquema Preferido","DJ Ivis",https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
6,"Weightless Part 1","Marconi Union",https://open.spotify.com/track/2UZZtkoLOg7IHxeTAdPFvd
7,"What A Shame","Leyla Blue",https://open.spotify.com/track/7FGIEAVXfegxngH9Jg6VwA
8,"Buss It","Erica Banks",https://open.spotify.com/track/78xj07VVFK5uHTaGPIu13S
9,Hylander,Abbot,https://open.spotify.com/track/3sOcmmmWB7dqyziUVLXpTi
10,"LUAZUL #1 (feat. Casluh e Pelé Milflows) - Acústico","Belle Kaffer",https://open.spotify.com/track/2SEibS7eqm4HCJrmSJLsyq
11,Paparazzi,"Kim Dracula",https://open.spotify.com/track/3rchFjeKZ0bJxO7EEdM3S5
12,Mds,Kawe,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
13,"Nega Chegando","O Boy da Seresta",https://open.spotify.com/track/5XyDFMwY1NTIlkbzcfVyl3
14,PayPal,313Gang,https://open.spotify.com/track/59zZeFKnpq8bHsEaqFXGMj
15,"Pedaço de Mim",OIK,https://open.spotify.com/track/2fEgPCDD0qRvZeVrY381EW
16,"Good Days",SZA,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
17,Bora,"Forró Cintura de Mola",https://open.spotify.com/track/7Cniv2qCXbzrJSfxLXZt38
18,"Acabou a Água (feat. Mc Ygor Yanks)","MC 3L",https://open.spotify.com/track/7jFEykLSATTBHLCJXikHmD
19,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
20,"Oh Oh Não","Chicão do Piseiro",https://open.spotify.com/track/2XbyExMG9lDO2YyKmevhDV
21,"Tapão Nervoso","Jheo Chavoso",https://open.spotify.com/track/233lqmrvWyIC7u5GiAnTV4
22,"Facas - Ao Vivo","Diego & Victor Hugo",https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
23,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
24,"Vai Tomando Foguenta","MC Yuri",https://open.spotify.com/track/3SwHWvT7Uze9CqI5LJowv5
25,Saturno,BIN,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
26,"Matéria de Hoje","Bonde do gato preto",https://open.spotify.com/track/4pMXDXKX3Bsc5zWh8YuGiV
27,"Até Na Transa Você Não Larga o Lança","Mc Kitinho",https://open.spotify.com/track/00I29V4jIc7hAifIn1mtnb
28,"Apaga Luz, Apaga Tudo - Challenge","DJ TN Beat",https://open.spotify.com/track/0v192IDdClYsae1YWxhTO9
29,Streets,"Doja Cat",https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
30,"Anota Placa","Tz da Coronel",https://open.spotify.com/track/3QUriWUE8WnWLpWxHA52k4
31,"Quer Esquecer sua Ex Mulher Vem Pro Cabaré","Nêgo Jhá",https://open.spotify.com/track/3xBYCXi1LBsQPGE08M3iAP
32,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
33,"Golpe Trocado","Mc Frog",https://open.spotify.com/track/0nGOQOcurYXEWKcWi2ZrQo
34,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
35,"De 1 Até 3","João Figueiredo",https://open.spotify.com/track/6F5xSGfgWc0ti0FTlzuRZ4
36,Mmmh,KAI,https://open.spotify.com/track/5dntGTbUtmUO239wQ0k3yM
37,"Ele É Ele, Eu Sou Eu","Wesley Safadão",https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
38,"Oclin e Evoque","Tropa do Bruxo",https://open.spotify.com/track/3PnDIGbfmswMaxX386zp3X
39,"Pisa Menos","Gabriel Costta",https://open.spotify.com/track/7JBL5xms9d22Mx2F04ikXo
40,"Save Your Tears","The Weeknd",https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
41,"Beat Eu Era (Funk Remix)","Sr. Nescau",https://open.spotify.com/track/45PQcjzbOPW30vMGRxb85V
42,"Angels Like You","Miley Cyrus",https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB
43,"Quero toda noite - Participação especial de Jorge Ben Jor",Fiuk,https://open.spotify.com/track/5tLO5Cjw1iHwEaQo7JtLaJ
44,"Tô Fumando um Chá","MC Nandinho",https://open.spotify.com/track/7aOPf0C61Y85RPdBgxcKoW
45,360,"LUCK MUZIK",https://open.spotify.com/track/5WzKvIMbCRZn3epiBxrYig
46,"O Golpe Tá Aí","MC Matheuzinho",https://open.spotify.com/track/5Y3ItQ4r4sgw0KvHxP9sbt
47,"Ô Moça","MC Zaquin",https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
48,"Na Ponta do Pé 2","Mc Livinho",https://open.spotify.com/track/6G5z2fh5MfVErDCsJJKNwv
49,"Fazer Dinheiro","Teto Mc",https://open.spotify.com/track/0cza9K2UFGby1dmHQC8OU9
50,"É Só Botada","MC Levin",https://open.spotify.com/track/07c9lzwx1IIm101PnB4BZu
