,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Esquema Preferido","DJ Ivis",5957758,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
2,"Ele É Ele, Eu Sou Eu","Wesley Safadão",5832953,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
3,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",5250356,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
4,"Facas - Ao Vivo","Diego & Victor Hugo",5048426,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
5,Mds,Kawe,5020502,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
6,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",4430681,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
7,"Lance Individual","Jorge & Mateus",4303981,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
8,"Recairei - Ao Vivo","Os Barões Da Pisadinha",4055511,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
9,M4,Teto,3963917,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
10,"MODO TURBO","Luísa Sonza",3895765,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
11,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",3847835,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
12,Xerecard,"Jeff Costa",3385607,https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
13,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",3290227,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
14,"Amor ou o Litrão","Petter Ferraz",3289744,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
15,"Maçã Verde","MC Hariel",3256687,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
16,"Investe Em Mim","Jonas Esticado",3003396,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
17,"Amor da Despedida","Os Barões Da Pisadinha",2999548,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
18,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",2864877,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
19,"Figurinha - Ao Vivo","Douglas & Vinicius",2637620,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
20,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",2481152,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
21,"Espetinho - Ao Vivo","Gusttavo Lima",2450787,https://open.spotify.com/track/1UF3sCkxXH4OE7ja83GRzj
22,"Ilusão (Cracolândia)","MC Hariel",2449209,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
23,Letícia,"Zé Vaqueiro",2373381,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
24,"É Só Botada","MC Levin",2342393,https://open.spotify.com/track/07c9lzwx1IIm101PnB4BZu
25,"Só Tem Eu","Zé Felipe",2313547,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
26,"Cidade Inteira","Eric Land",2306648,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
27,"Rainha da Favela",LUDMILLA,2300972,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
28,"Último Beijo","Bruno & Marrone",2273658,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
29,"Foi Pá Pum","Simone & Simaria",2253409,https://open.spotify.com/track/1Cqg0nJOZRyvltkof8tjqA
30,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",2216734,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
31,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",2202555,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
32,"Amor e Fé - Acústico","Hungria Hip Hop",2168760,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
33,"Sogra - Ao Vivo",Dilsinho,2142128,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
34,"drivers license","Olivia Rodrigo",2079246,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
35,"Tá Rocheda","Os Barões Da Pisadinha",2054536,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
36,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2048375,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
37,Rita,Tierry,2024569,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
38,Nêga,"Tarcísio do Acordeon",2016767,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
39,"Quero Você do Jeito Que Quiser","Marília Mendonça",1977936,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
40,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",1973760,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
41,"É Problema","Matheus & Kauan",1928070,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
42,"Faz a Pose","MC Teteu",1927737,https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
43,"Eu Tenho Medo","Zé Vaqueiro",1893527,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
44,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",1871392,https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv
45,"Nem Doeu - Ao Vivo","Matheus & Kauan",1869646,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
46,"Troca de Calçada","Marília Mendonça",1856992,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
47,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",1850053,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
48,"Desejando Eu (Ao Vivo)","Murilo Huff",1789515,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
49,Privilégio,"MC Luan da BS",1762855,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
50,"Blinding Lights","The Weeknd",1691347,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
51,"Ele Não Tem","Jonas Esticado",1662794,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
52,"Não Valeu","Wesley Safadão",1636310,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
53,"Oh Juliana",Niack,1605193,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
54,"Só Você","MC Rogerinho",1566822,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
55,Paradigmas,"Jorge & Mateus",1521035,https://open.spotify.com/track/158ukl5rih76dOEsp0I91H
56,Hackearam-Me,Tierry,1506381,https://open.spotify.com/track/5NeBu4oKweDXIjhvYqtbLo
57,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",1502393,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
58,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",1458913,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom
59,Loco,Anitta,1404637,https://open.spotify.com/track/3cNKhoBUhyuXhQTdQjOiT8
60,Deprê,"Marília Mendonça",1376409,https://open.spotify.com/track/2BRGOqLBHFJclDM6PB2dnd
61,"Me Gusta (with Cardi B & Myke Towers)",Anitta,1368518,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
62,Cabaré,"Dj Guuga",1357624,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
63,"Esquece de Me Esquecer","Zé Felipe",1326259,https://open.spotify.com/track/1NXeltgzjQeiC4hbf2XNVr
64,"Watermelon Sugar","Harry Styles",1309270,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
65,positions,"Ariana Grande",1300027,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
66,"Briga Feia - Ao Vivo","Henrique & Juliano",1299691,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
67,"Viva Voz - Ao Vivo","Lauana Prado",1262243,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
68,"FALA MAL DE MIM","PEDRO SAMPAIO",1259701,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
69,"Romance Desapegado","Conde do Forró",1252564,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4
70,777-666,Matuê,1234934,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
71,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",1198227,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
72,Ranking,"Jorge & Mateus",1195115,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
73,"Manda Áudio","Di Propósito",1191205,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
74,"Não Vai Embora",Dilsinho,1171160,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
75,"Nega Chegando","O Boy da Seresta",1160922,https://open.spotify.com/track/5XyDFMwY1NTIlkbzcfVyl3
76,"Comprei um Lança","Mc Jacaré",1157322,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
77,"Litrão - Ao Vivo","Matheus & Kauan",1146963,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
78,"Desce Pro Play (PA PA PA)","Mc Zaac",1146620,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
79,"S de Saudade","Luíza & Maurílio",1141649,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
80,"Poesia Acústica 10: Recomeçar","Pineapple StormTv",1127061,https://open.spotify.com/track/4pwFy4YPNGMxK2P2FfQfvt
81,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",1124846,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
82,"Seu Beijo Joga Sujo","Avine Vinny",1119608,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV
83,"Volume 3","Douglas & Vinicius",1107228,https://open.spotify.com/track/5gIVPysvKFh2gtwsicafnN
84,"Esses Vícios","Zé Neto & Cristiano",1100155,https://open.spotify.com/track/2InUVOBY515umeuwdQtsQ4
85,"Pode Sumir","Luíza & Maurílio",1089017,https://open.spotify.com/track/7CDdyDigw7e3zFr3k7uKMY
86,"Alive (It Feels Like)",Alok,1086902,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
87,"Don't Start Now","Dua Lipa",1076393,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
88,LARISSA,"PEDRO SAMPAIO",1074799,https://open.spotify.com/track/1wowgtxmcxyIDGkQ8S28gL
89,"Eu Vou Tirar Você Do Cabaré","Israell Muniz",1073961,https://open.spotify.com/track/4dkMmfrNEIUMjoEIFHA2yy
90,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",1070456,https://open.spotify.com/track/4Y0gR2tYML083T6b2vhJrn
91,"Marília Mendonça",BIN,1060416,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF
92,"Don't Say Goodbye (feat. Tove Lo)",Alok,1059261,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
93,"Máquina do Tempo",Matuê,1058211,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
94,"Deixa de Onda (Porra Nenhuma)",DENNIS,1030188,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
95,"Despedida - Ao Vivo","Wesley Safadão",1021853,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
96,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",1017325,https://open.spotify.com/track/1WTJdd2atKxhUrbvUHjNDt
97,"Vai Ter Que Aguentar","Mc Don Juan",1012683,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
98,"Camisa do Flamengo","MC Meno K",1011545,https://open.spotify.com/track/7AjPEsSw5XH8Prczu0ADY6
99,"Café e Amor - Ao Vivo","Gusttavo Lima",997848,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA
100,"Beijo das Galáxias","Eric Land",996812,https://open.spotify.com/track/4z1hlWTFVq9ftrcCxxvcwt
101,"A Pior Parte",Renno,974594,https://open.spotify.com/track/5It3UpCRrZM6SJTL8dIQOV
102,"Tapão Na Raba","Raí Saia Rodada",955978,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
103,"Senta no Fazendeiro","Mc Jacaré",947682,https://open.spotify.com/track/1wsL4Lgoo27ETnLt6svbnT
104,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",945225,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
105,"Foi por Conveniência","Marília Mendonça",934763,https://open.spotify.com/track/6niGCULksHzD0NHyX3zCuB
106,"Golpe Trocado","Mc Frog",931435,https://open.spotify.com/track/0nGOQOcurYXEWKcWi2ZrQo
107,"Ela Aperta a Minha Mente","Xand Avião",930449,https://open.spotify.com/track/1T3hcBQRwacjWLuJJFt8co
108,"menina solta","GIULIA BE",928664,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
109,"Super Ex - Ao Vivo","Gusttavo Lima",921454,https://open.spotify.com/track/4sCgnIAtZWlMfY7h4h8dI0
110,"Roses - Imanbek Remix","SAINt JHN",909531,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
111,"Meia Noite","Zé Vaqueiro",908972,https://open.spotify.com/track/2ylAocQwOgzelMbW9KJL56
112,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R. & MC Leozinho ZS)","DJ Matt D",908422,https://open.spotify.com/track/4vDC52DnSqAjec5Vh5yJEb
113,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",894150,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
114,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",889678,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
115,Cangote,"Zé Vaqueiro",887652,https://open.spotify.com/track/0dTqciDQzwVKWY2kb3Gixf
116,TOMA,"Luísa Sonza",876051,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
117,Saturno,BIN,866385,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
118,Adorei,"Grupo Menos É Mais",860215,https://open.spotify.com/track/6rfNbeEGCh8M5AAj879g0r
119,"WAP (feat. Megan Thee Stallion)","Cardi B",859321,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
120,"Graveto - Ao Vivo","Marília Mendonça",858131,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
