,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",7670975,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
2,"Volta Bebê, Volta Neném","Dj Guuga",7161223,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
3,"Disco Arranhado - Funk Remix",Malu,6262424,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
4,"Liberdade (Quando o Grave Bate Forte)",Alok,6010778,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
5,"Tapão Na Raba","Raí Saia Rodada",5307360,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
6,"Facas - Ao Vivo","Diego & Victor Hugo",4971854,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
7,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",4651228,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
8,"Ele É Ele, Eu Sou Eu","Wesley Safadão",4594291,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
9,"Vida Louca","Mc Poze do Rodo",4552656,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
10,Paradigmas,"Jorge & Mateus",4486701,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
11,"Não Pode Se Apaixonar","Xand Avião",4142323,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
12,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",3626993,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
13,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",3596212,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
14,"Só Não Divulga","Fernando & Sorocaba",3496026,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
15,"Lance Individual","Jorge & Mateus",3435653,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
16,"FALA MAL DE MIM","PEDRO SAMPAIO",3254647,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
17,"Deixa de Onda (Porra Nenhuma)",DENNIS,3220912,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
18,"Preta do Cabelo Cacheado","Th CDM",3211279,https://open.spotify.com/track/3lJ8BcGM1ROQ1ufneU3Qya
19,"Foi Pá Pum","Simone & Simaria",3154637,https://open.spotify.com/track/1Cqg0nJOZRyvltkof8tjqA
20,"MONTERO (Call Me By Your Name)","Lil Nas X",3127256,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
21,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",3118735,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
22,Acaso,"Vitor Fernandes",3085070,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
23,"É Problema","Matheus & Kauan",3011864,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
24,"Troca de Calçada","Marília Mendonça",2979448,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
25,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",2920165,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
26,M4,Teto,2843415,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
27,"Último Beijo","Bruno & Marrone",2799482,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
28,"Baby Me Atende","Matheus Fernandes",2740850,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
29,"Vou falar que não quero","Vitor Fernandes",2623301,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
30,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",2512156,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
31,"Amor da Despedida","Os Barões Da Pisadinha",2497604,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
32,"Fala Comigo - Ao Vivo","Gusttavo Lima",2476326,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
33,"Ô Moça","MC Zaquin",2457158,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
34,"Volta Comigo BB","Zé Vaqueiro",2371707,https://open.spotify.com/track/2N2MrTCpwNQdbvlk0Kmz3c
35,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2317407,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
36,"Ele Não Tem","Jonas Esticado",2313009,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
37,Mds,Kawe,2254235,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
38,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",2192138,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
39,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",2050150,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
40,"Esqueceu Foi Porra","Eric Land",2035403,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
41,"Espirra o Lança","Dj Serpinha",2016926,https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
42,"Freio da Blazer",L7NNON,2016590,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
43,Saturno,BIN,1947839,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
44,Troca,"Jorge & Mateus",1936800,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
45,"Cai de vagarinho até embaixo","Mc Rennan",1867963,https://open.spotify.com/track/2p04GXqx4j9sggMTFJpEBa
46,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1863472,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
47,"MODO TURBO","Luísa Sonza",1798224,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
48,"Preta do Cabelo Cacheado","Mc Don Juan",1754720,https://open.spotify.com/track/0Ve3XWcrsgy90xo0UL2syx
49,Sigilo,"Guilherme & Benuto",1701471,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
50,"Amor e Fé - Acústico","Hungria Hip Hop",1552460,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
51,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1547355,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
52,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1535737,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
53,"Leave The Door Open","Bruno Mars",1522377,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
54,"Heartbreak Anniversary",Giveon,1511819,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
55,"Tipo Gin - Ao Vivo","MC Kevin o Chris",1508093,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
56,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",1488618,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
57,"Blinding Lights","The Weeknd",1465775,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
58,"Amarelo, azul e branco",ANAVITÓRIA,1452308,https://open.spotify.com/track/2LOIoeI16A8jjKubPKoCSa
59,Paypal,Teto,1408939,https://open.spotify.com/track/6x1FttETfbRLerumlTn0ZH
60,"F* F* M*","Filipe Ret",1407560,https://open.spotify.com/track/0cHflpV8SSGbE0NKaasEfT
61,"Watermelon Sugar","Harry Styles",1397265,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
62,"Maçã Verde","MC Hariel",1383728,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
63,"Eu Tenho Medo","Zé Vaqueiro",1367991,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
64,"Astronaut In The Ocean","Masked Wolf",1366951,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
65,"Investe Em Mim","Jonas Esticado",1353586,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
66,Privilégio,"MC Luan da BS",1352734,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
67,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",1337628,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
68,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",1315701,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
69,"Sogra - Ao Vivo",Dilsinho,1286645,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
70,"Espetinho - Ao Vivo","Gusttavo Lima",1280744,https://open.spotify.com/track/52yvnBV90B2ZUC5b25cFer
71,"Bloqueia Eu - Remix","DJ Lucas Beat",1257934,https://open.spotify.com/track/0VxVv5IKWXj5o6FVO7zKXN
