,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,5791500,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Desce Pro Play (PA PA PA)","Mc Zaac",4030743,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
3,"Investe Em Mim","Jonas Esticado",3581580,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
4,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",3280799,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
5,"Na Raba Toma Tapão",Niack,3257874,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
6,"Volta por Baixo - Ao Vivo","Henrique & Juliano",3009256,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
7,Ranking,"Jorge & Mateus",2984371,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
8,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2748214,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
9,"Graveto - Ao Vivo","Marília Mendonça",2686790,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
10,"Vai Ter Que Aguentar","Mc Don Juan",2669114,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
11,"Tudo Aconteceu","MC Du Black",2617466,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
12,"Comprei um Lança","Mc Jacaré",2600712,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
13,"Quero Você do Jeito Que Quiser","Marília Mendonça",2566244,https://open.spotify.com/track/51uXmhqGR76tT2UeKZyeN6
14,"Litrão - Ao Vivo","Matheus & Kauan",2528418,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
15,"Sogra - Ao Vivo",Dilsinho,2469272,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
16,Flores,Vitão,2431069,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
17,"Nem Doeu - Ao Vivo","Matheus & Kauan",2426948,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
18,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2375672,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
19,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",2346952,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
20,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",2325747,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
21,"Te Prometo",DENNIS,2288483,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
22,"Deus é por nós","MC Marks",2275316,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
23,BRABA,"Luísa Sonza",2220137,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
24,"S de Saudade","Luíza & Maurílio",2212146,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
25,"Viva Voz - Ao Vivo","Lauana Prado",2200759,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
26,"Desejando Eu (Ao Vivo)","Murilo Huff",2090499,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
27,"Watermelon Sugar","Harry Styles",2043631,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
28,"Libera Ela - Ao Vivo","Maiara & Maraisa",1927986,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql
29,"Despedida - Ao Vivo","Wesley Safadão",1923275,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
30,"Briga Feia - Ao Vivo","Henrique & Juliano",1865179,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
31,"Não Vai Embora",Dilsinho,1856636,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
32,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",1836489,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
33,"Tá Rocheda","Os Barões Da Pisadinha",1835211,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
34,Talarica,"Rennan da Penha",1834585,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2
35,TOMA,"Luísa Sonza",1822345,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
36,"Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix","Dj W-Beatz",1804260,https://open.spotify.com/track/59CnMc5PR9GdDFEVOpHSg9
37,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",1758137,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil
38,"Roses - Imanbek Remix","SAINt JHN",1755933,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
39,"Blinding Lights","The Weeknd",1707175,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
40,"menina solta","GIULIA BE",1706737,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
41,"Saudade Sua","Gusttavo Lima",1699029,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi
42,"Não Valeu","Wesley Safadão",1695514,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
43,"Cheirosa - Ao Vivo","Jorge & Mateus",1666139,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
44,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1664136,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
45,"Mentira - Ao Vivo","Felipe Araújo",1656490,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1
46,"Don't Start Now","Dua Lipa",1571559,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
47,"Vira Homem","Marília Mendonça",1538406,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ
48,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",1519980,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
49,"Pipa Voada (feat. Emicida)",Rashid,1490916,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
50,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",1328113,https://open.spotify.com/track/2Ou6UYuUbNyqwXxRDSeFRf
51,"Supera - Ao Vivo","Marília Mendonça",1325902,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
52,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",1298205,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0
53,"WAP (feat. Megan Thee Stallion)","Cardi B",1288781,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
54,"Amor de Fim de Noite",Orochi,1269072,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
55,"3 Batidas - Ao Vivo","Guilherme & Benuto",1261018,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
56,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",1219026,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
57,"Dance Monkey","Tones And I",1211141,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
