,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Esquema Preferido","DJ Ivis",6204563,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
2,"Ele É Ele, Eu Sou Eu","Wesley Safadão",5869777,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
3,"Facas - Ao Vivo","Diego & Victor Hugo",5213952,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
4,Mds,Kawe,4745393,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
5,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",4726225,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
6,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",4430759,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
7,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",4207331,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
8,"Lance Individual","Jorge & Mateus",4203222,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
9,"Recairei - Ao Vivo","Os Barões Da Pisadinha",4158416,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
10,M4,Teto,3912380,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
11,Xerecard,"Jeff Costa",3492191,https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
12,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",3490611,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
13,"MODO TURBO","Luísa Sonza",3487482,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
14,"Amor da Despedida","Os Barões Da Pisadinha",3098459,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
15,"Maçã Verde","MC Hariel",3019918,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
16,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",3018384,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
17,"Amor ou o Litrão","Petter Ferraz",2929416,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
18,"Investe Em Mim","Jonas Esticado",2832715,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
19,"Último Beijo","Bruno & Marrone",2670619,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
20,"Espetinho - Ao Vivo","Gusttavo Lima",2531712,https://open.spotify.com/track/52yvnBV90B2ZUC5b25cFer
21,"Foi Pá Pum","Simone & Simaria",2457045,https://open.spotify.com/track/1Cqg0nJOZRyvltkof8tjqA
22,"Figurinha - Ao Vivo","Douglas & Vinicius",2389683,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
23,"Ilusão (Cracolândia)","MC Hariel",2299709,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
24,"Cidade Inteira","Eric Land",2261108,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
25,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",2216740,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
26,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",2210672,https://open.spotify.com/track/7snoDTJeoJ2oVMhf7eoF3t
27,"Tá Rocheda","Os Barões Da Pisadinha",2197864,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
28,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",2163951,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
29,"É Só Botada","MC Levin",2140521,https://open.spotify.com/track/07c9lzwx1IIm101PnB4BZu
30,"Amor e Fé - Acústico","Hungria Hip Hop",2118330,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
31,Privilégio,"MC Luan da BS",2111347,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
32,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",2093092,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
33,Letícia,"Zé Vaqueiro",2085469,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
34,"Rainha da Favela",LUDMILLA,2082841,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
35,"Troca de Calçada","Marília Mendonça",2043380,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
36,"Sogra - Ao Vivo",Dilsinho,2031822,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
37,"Blinding Lights","The Weeknd",2023099,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
38,"Faz a Pose","MC Teteu",2021780,https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
39,"drivers license","Olivia Rodrigo",2006928,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
40,"Só Tem Eu","Zé Felipe",1980250,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
41,"Tapão Na Raba","Raí Saia Rodada",1963815,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
42,"Volta por Baixo - Ao Vivo","Henrique & Juliano",1907563,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
43,Rita,Tierry,1894614,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
44,"É Problema","Matheus & Kauan",1885947,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
45,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",1861713,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
46,Nêga,"Tarcísio do Acordeon",1846336,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
47,"Quero Você do Jeito Que Quiser","Marília Mendonça",1819877,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
48,"Eu Tenho Medo","Zé Vaqueiro",1807328,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
49,"Ele Não Tem","Jonas Esticado",1719209,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
50,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",1646435,https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv
51,"Nem Doeu - Ao Vivo","Matheus & Kauan",1623274,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
52,"Desejando Eu (Ao Vivo)","Murilo Huff",1618887,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
53,"Fala Comigo - Ao Vivo","Gusttavo Lima",1573002,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
54,"Deixa de Onda (Porra Nenhuma)",DENNIS,1533077,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
55,Paradigmas,"Jorge & Mateus",1512362,https://open.spotify.com/track/158ukl5rih76dOEsp0I91H
56,Hackearam-Me,Tierry,1412937,https://open.spotify.com/track/5NeBu4oKweDXIjhvYqtbLo
57,"Não Valeu","Wesley Safadão",1402359,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
58,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",1379827,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
59,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",1356750,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
60,"Oh Juliana",Niack,1325812,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
61,"FALA MAL DE MIM","PEDRO SAMPAIO",1319726,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
62,Cabaré,"Dj Guuga",1295924,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
63,"Só Você","MC Rogerinho",1287205,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
64,positions,"Ariana Grande",1257539,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
65,Deprê,"Marília Mendonça",1256804,https://open.spotify.com/track/2BRGOqLBHFJclDM6PB2dnd
66,"Me Gusta (with Cardi B & Myke Towers)",Anitta,1239507,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
67,"Watermelon Sugar","Harry Styles",1217364,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
68,"Briga Feia - Ao Vivo","Henrique & Juliano",1214094,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
69,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",1206037,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom
70,777-666,Matuê,1189156,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
71,"Viva Voz - Ao Vivo","Lauana Prado",1185666,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
72,"Romance Desapegado","Conde do Forró",1160797,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4
73,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",1144419,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
74,Ranking,"Jorge & Mateus",1129446,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
75,"Manda Áudio","Di Propósito",1111155,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
76,"Save Your Tears","The Weeknd",1107946,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
77,"Alive (It Feels Like)",Alok,1098990,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
78,"Esquece de Me Esquecer","Zé Felipe",1095172,https://open.spotify.com/track/1NXeltgzjQeiC4hbf2XNVr
79,"Nega Chegando","O Boy da Seresta",1095002,https://open.spotify.com/track/5XyDFMwY1NTIlkbzcfVyl3
80,"Volume 3","Douglas & Vinicius",1068157,https://open.spotify.com/track/5gIVPysvKFh2gtwsicafnN
81,"S de Saudade","Luíza & Maurílio",1061211,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
82,"Pode Sumir","Luíza & Maurílio",1054160,https://open.spotify.com/track/7CDdyDigw7e3zFr3k7uKMY
83,"Café e Amor - Ao Vivo","Gusttavo Lima",1053482,https://open.spotify.com/track/6zeo9bcZWGlHi2VqjUSmaR
84,"Esses Vícios","Zé Neto & Cristiano",1051354,https://open.spotify.com/track/2InUVOBY515umeuwdQtsQ4
85,"Poesia Acústica 10: Recomeçar","Pineapple StormTv",1046116,https://open.spotify.com/track/4pwFy4YPNGMxK2P2FfQfvt
86,"Don't Say Goodbye (feat. Tove Lo)",Alok,1039390,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
87,"Desce Pro Play (PA PA PA)","Mc Zaac",1018240,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
88,"Comprei um Lança","Mc Jacaré",1017993,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
89,"Marília Mendonça",BIN,1017637,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF
90,Hylander,Abbot,1017423,https://open.spotify.com/track/3sOcmmmWB7dqyziUVLXpTi
91,"Máquina do Tempo",Matuê,1017265,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
92,"Don't Start Now","Dua Lipa",1011762,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
93,"Camisa do Flamengo","MC Meno K",1010307,https://open.spotify.com/track/7AjPEsSw5XH8Prczu0ADY6
94,LARISSA,"PEDRO SAMPAIO",997086,https://open.spotify.com/track/1wowgtxmcxyIDGkQ8S28gL
95,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",992680,https://open.spotify.com/track/4Y0gR2tYML083T6b2vhJrn
96,"Eu Vou Tirar Você Do Cabaré","Israell Muniz",977741,https://open.spotify.com/track/4dkMmfrNEIUMjoEIFHA2yy
97,"The Business",Tiësto,970262,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
98,"Seu Beijo Joga Sujo","Avine Vinny",967067,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV
99,Saturno,BIN,960830,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
100,"Não Vai Embora",Dilsinho,953802,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
