,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Amor ou o Litrão","Petter Ferraz",5261366,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
2,"Recairei - Ao Vivo","Os Barões Da Pisadinha",5222783,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
3,"Investe Em Mim","Jonas Esticado",4227659,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
4,"Lance Individual","Jorge & Mateus",4106449,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
5,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",4104442,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
6,"Só Tem Eu","Zé Felipe",3746722,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
7,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",3725296,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
8,"Ilusão (Cracolândia)","MC Hariel",3570079,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
9,"Figurinha - Ao Vivo","Douglas & Vinicius",3431975,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
10,Rita,Tierry,3387211,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
11,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",3331843,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
12,"Cidade Inteira","Eric Land",3217786,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
13,"Só Você","MC Rogerinho",3101885,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
14,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",3025772,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
15,Letícia,"Zé Vaqueiro",2906808,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
16,"Rainha da Favela",LUDMILLA,2893955,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
17,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",2874292,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
18,"Tá Rocheda","Os Barões Da Pisadinha",2833824,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
19,"Quero Você do Jeito Que Quiser","Marília Mendonça",2824126,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
20,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",2722411,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
21,"Amor da Despedida","Os Barões Da Pisadinha",2708378,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
22,"Sogra - Ao Vivo",Dilsinho,2666608,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
23,"Oh Juliana",Niack,2648497,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
24,"Nem Doeu - Ao Vivo","Matheus & Kauan",2597010,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
25,"Amor e Fé - Acústico","Hungria Hip Hop",2568424,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
26,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2495376,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
27,Nêga,"Tarcísio do Acordeon",2380815,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
28,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",2270036,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
29,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2248301,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom
30,"Maçã Verde","MC Hariel",2242268,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
31,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",2115930,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
32,"Me Gusta (with Cardi B & Myke Towers)",Anitta,2095271,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
33,"Comprei um Lança","Mc Jacaré",2093193,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
34,"Desejando Eu (Ao Vivo)","Murilo Huff",2077038,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
35,"Não Valeu","Wesley Safadão",2028720,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
36,"Briga Feia - Ao Vivo","Henrique & Juliano",2026305,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
37,"Vai Ter Que Aguentar","Mc Don Juan",1978208,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
38,"Espetinho - Ao Vivo","Gusttavo Lima",1959127,https://open.spotify.com/track/1UF3sCkxXH4OE7ja83GRzj
39,"Não Vai Embora",Dilsinho,1952336,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
40,"Ele É Ele, Eu Sou Eu","Wesley Safadão",1933647,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
41,"Viva Voz - Ao Vivo","Lauana Prado",1877541,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
42,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",1853422,https://open.spotify.com/track/4Y0gR2tYML083T6b2vhJrn
43,positions,"Ariana Grande",1848020,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
44,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",1831143,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
45,"S de Saudade","Luíza & Maurílio",1829527,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
46,"Romance Desapegado","Conde do Forró",1805190,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4
47,"Desce Pro Play (PA PA PA)","Mc Zaac",1796195,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
48,"Poesia Acústica 10: Recomeçar","Pineapple StormTv",1746281,https://open.spotify.com/track/4pwFy4YPNGMxK2P2FfQfvt
49,Ranking,"Jorge & Mateus",1726464,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
50,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1710862,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
51,"Blinding Lights","The Weeknd",1681846,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
52,"Facas - Ao Vivo","Diego & Victor Hugo",1651964,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
53,"É Problema","Matheus & Kauan",1630189,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
54,"Litrão - Ao Vivo","Matheus & Kauan",1583266,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
55,Deprê,"Marília Mendonça",1570450,https://open.spotify.com/track/2BRGOqLBHFJclDM6PB2dnd
56,"Máquina do Tempo",Matuê,1567253,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
57,"Watermelon Sugar","Harry Styles",1539595,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
58,"Foi Pá Pum","Simone & Simaria",1497094,https://open.spotify.com/track/6F7tttrdq7aUdxXVeo0nKp
59,"Ele Não Tem","Jonas Esticado",1494174,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
60,777-666,Matuê,1484095,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
61,"Despedida - Ao Vivo","Wesley Safadão",1465638,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
62,"Eu Tenho Medo","Zé Vaqueiro",1454673,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
63,LARISSA,"PEDRO SAMPAIO",1445954,https://open.spotify.com/track/1wowgtxmcxyIDGkQ8S28gL
64,willow,"Taylor Swift",1432068,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
65,"Século 21","Leo Santana",1431560,https://open.spotify.com/track/79Uf0vVa7HwWKSgdpTwtRm
66,"Seu Beijo Joga Sujo","Avine Vinny",1417969,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV
67,"Manda Áudio","Di Propósito",1366879,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
68,"Vingadora - Ao Vivo","Gusttavo Lima",1352950,https://open.spotify.com/track/0vjQN0F7VjLSiw49em2hq1
69,Hackearam-Me,Tierry,1317028,https://open.spotify.com/track/5NeBu4oKweDXIjhvYqtbLo
70,"Deus é por nós","MC Marks",1316418,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
71,"se essa vida fosse um filme","GIULIA BE",1314605,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0
72,"Don't Start Now","Dua Lipa",1312031,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
73,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",1303367,https://open.spotify.com/track/1WTJdd2atKxhUrbvUHjNDt
