,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
50,Flores,Vitão,1679276,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
51,"Despedida - Ao Vivo","Wesley Safadão",1672923,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
52,"Blinding Lights","The Weeknd",1671275,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
53,"menina solta","GIULIA BE",1559953,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
54,"Cheirosa - Ao Vivo","Jorge & Mateus",1539757,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
55,"Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix","Dj W-Beatz",1487292,https://open.spotify.com/track/59CnMc5PR9GdDFEVOpHSg9
56,"Saudade Sua","Gusttavo Lima",1468565,https://open.spotify.com/track/6NM06xgqxQ0HU5lxbt2JHi
57,BRABA,"Luísa Sonza",1429877,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
58,"Manda Áudio","Di Propósito",1418345,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
59,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R. & MC Leozinho ZS)","DJ Matt D",1411992,https://open.spotify.com/track/4vDC52DnSqAjec5Vh5yJEb
60,"Romance Desapegado","Conde do Forró",1372670,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4
61,"E Nós Tem um Charme Que É da Hora","Mc Dricka",1372265,https://open.spotify.com/track/4koUrXFuoId1b6wrMF3laS
62,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",1369172,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
63,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",1321753,https://open.spotify.com/track/23zmMwD99ROi9yhxqMxWil
64,"Don't Start Now","Dua Lipa",1315466,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
65,"Pipa Voada (feat. Emicida)",Rashid,1314474,https://open.spotify.com/track/3oqC4Ta40ft6NnTJwcUTdi
66,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",1299093,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0
67,Dynamite,BTS,1292977,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
68,Rita,Tierry,1255160,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
69,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1232926,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
70,"Roses - Imanbek Remix","SAINt JHN",1222466,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
71,"Então Toma - Ao Vivo","Matheus & Kauan",1181421,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j
72,"Pode Sumir","Luíza & Maurílio",1175974,https://open.spotify.com/track/5OzvtpasMB3aPWpfVr0PsA
73,"Hoje É Rave","Bárbara Labres",1138664,https://open.spotify.com/track/2CBpRE0A922XhWLSI8AT9O
74,"Mentira - Ao Vivo","Felipe Araújo",1136527,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1
75,"3 Batidas - Ao Vivo","Guilherme & Benuto",1128208,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
76,"Cuidado Que Eu Te Supero","Yasmin Santos",1126748,https://open.spotify.com/track/5J4tK2FbXQEeC0AsfFgwpz
77,"É Sal",Matuê,1107947,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5
78,"Cabeça Voando","Os Barões Da Pisadinha",1099680,https://open.spotify.com/track/6wDzwmywQ2X8O0FN1IQGol
79,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1096063,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
80,Avançada,"MC Kevinho",1083218,https://open.spotify.com/track/1fWITNjgwmKEonjikQUaa1
81,"Uma Vida a Mais (Listen To Your Heart)","Marília Mendonça",1065218,https://open.spotify.com/track/2hqRWWmbHT9CTc5a4a9NVe
82,"Mood (feat. iann dior)",24kGoldn,1058600,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
83,"Supera - Ao Vivo","Marília Mendonça",1057687,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
84,"Casa de Praia - Ao Vivo","Os Barões Da Pisadinha",1054785,https://open.spotify.com/track/5iHJ6FB4iWVcaY7iDYJrJB
85,"Amor de Fim de Noite",Orochi,1041726,https://open.spotify.com/track/1Nmcs8zk7LfcvHRgLtTM5J
86,"Dance Monkey","Tones And I",1030593,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
87,"Marília Mendonça",BIN,1027823,https://open.spotify.com/track/73uParILjIm5rcP0C2bpMF
88,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",1016113,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
89,"Bebe e Vem Me Procurar","Raí Saia Rodada",988165,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq
90,"Vira Homem","Marília Mendonça",986965,https://open.spotify.com/track/0GrEqRHf5FioT1hOB8PBxZ
91,"Se Namorar Fosse Bom - Ao Vivo","Os Barões Da Pisadinha",979627,https://open.spotify.com/track/1UA7l6cbAukGucRgAUVePo
