,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Meu Pedaço de Pecado","João Gomes",8401463,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
2,"Não, Não Vou","Mari Fernandez",6215516,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
3,"Baby Me Atende","Matheus Fernandes",5858978,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
4,"Ficha Limpa","Gusttavo Lima",5535302,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
5,"Não Nasceu pra Namorar","MC Zaquin",5272231,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
6,"Aquelas Coisas","João Gomes",5214146,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
7,Bipolar,"Mc Davi",5196318,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
8,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",5093289,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
9,MORENA,"Luan Santana",4866390,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
10,"Volta Bebê, Volta Neném","Dj Guuga",4602335,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
11,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",4363827,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
12,Troca,"Jorge & Mateus",4359817,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
13,Beggin',Måneskin,4324981,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
14,"Só Não Divulga","Fernando & Sorocaba",4319278,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
15,"Chamo Teu Vulgo Malvadão","mc jhenny",4146549,https://open.spotify.com/track/4mdlehe2znCTAzlFhrOa09
16,"Vida Louca","Mc Poze do Rodo",3743528,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
17,Passatempo,"Wesley Safadão",3711614,https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9
18,"Se Joga no Passinho","Brisa Star",3567210,https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb
19,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",3498658,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
20,"Tipo Gin - Ao Vivo","MC Kevin o Chris",3440900,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
21,"Poesia Acústica 11: Nada Mudou","Pineapple StormTv",3401340,https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E
22,"Se For Amor","João Gomes",3333770,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
23,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",3230330,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
24,Vagabundo,"Matheus & Kauan",2971234,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
25,"good 4 u","Olivia Rodrigo",2947294,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
26,"Disco Arranhado - Funk Remix",Malu,2938423,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
27,Paradigmas,"Jorge & Mateus",2921918,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
28,"Facas - Ao Vivo","Diego & Victor Hugo",2885603,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
29,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",2881113,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
30,"Liberdade (Quando o Grave Bate Forte)",Alok,2851577,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
31,"Volta Comigo BB","Zé Vaqueiro",2820085,https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc
32,"Localiza Aí BB","Vitor e Luan",2718659,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
33,ATENÇÃO,"PEDRO SAMPAIO",2690634,https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED
34,"Tapão Na Raba","Raí Saia Rodada",2642889,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
35,"Ele É Ele, Eu Sou Eu","Wesley Safadão",2621847,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
36,Morena,NATTAN,2461256,https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX
37,"Pingo de Dó - Ao Vivo","Hugo & Guilherme",2455700,https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw
38,"Desbloqueado - Ao Vivo","Diego & Victor Hugo",2326954,https://open.spotify.com/track/66HWIQEq6xO0IZ47AHrybG
39,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2325968,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
40,"Troca de Calçada","Marília Mendonça",2304472,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
41,"Vou falar que não quero","Vitor Fernandes",2239021,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
42,"É Problema","Matheus & Kauan",2176316,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
43,"Baile do Cinga do 12","MC Gontijo",2097065,https://open.spotify.com/track/2uLt06E9xCZVPFXg9v794o
44,"Permission to Dance",BTS,2082286,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
45,"Eu Tenho a Senha","João Gomes",2035539,https://open.spotify.com/track/2YBKO08Wkc3eP5JdUSwng8
