,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,5043933,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Investe Em Mim","Jonas Esticado",4746657,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Recairei - Ao Vivo","Os Barões Da Pisadinha",4398397,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
4,"Me Gusta (with Cardi B & Myke Towers)",Anitta,4164826,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
5,"Só Você","MC Rogerinho",3886221,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
6,"Quero Você do Jeito Que Quiser","Marília Mendonça",3650431,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
7,"Comprei um Lança","Mc Jacaré",3500997,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
8,"Sogra - Ao Vivo",Dilsinho,3484779,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
9,"Desce Pro Play (PA PA PA)","Mc Zaac",3219041,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
10,"Máquina do Tempo",Matuê,3155665,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
11,"Figurinha - Ao Vivo","Douglas & Vinicius",3097561,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
12,"Vai Ter Que Aguentar","Mc Don Juan",3057137,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
13,"Tá Rocheda","Os Barões Da Pisadinha",2946966,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
14,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2913644,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
15,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2865141,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
16,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",2864462,https://open.spotify.com/track/3AV1KI22k1jGMz792lDrj1
17,"Nem Doeu - Ao Vivo","Matheus & Kauan",2715684,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
18,Ranking,"Jorge & Mateus",2708719,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
19,777-666,Matuê,2583732,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
