,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,5476760,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Deve ser horrível dormir sem mim","Manu Gavassi",3953423,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j
3,"Investe Em Mim","Jonas Esticado",3823149,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
4,"Desce Pro Play (PA PA PA)","Mc Zaac",3492716,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
5,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",2950151,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
6,"Na Raba Toma Tapão",Niack,2923806,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
7,"Quero Você do Jeito Que Quiser","Marília Mendonça",2904637,https://open.spotify.com/track/51uXmhqGR76tT2UeKZyeN6
8,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2790668,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
9,"Vai Ter Que Aguentar","Mc Don Juan",2751261,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
10,Ranking,"Jorge & Mateus",2638744,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
11,"Comprei um Lança","Mc Jacaré",2636340,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
12,"Sogra - Ao Vivo",Dilsinho,2634085,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
13,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2508041,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
14,TOMA,"Luísa Sonza",2506008,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
15,"Tudo Aconteceu","MC Du Black",2492234,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
16,"Deus é por nós","MC Marks",2441915,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
17,Dynamite,BTS,2402249,https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE
18,Flores,Vitão,2344490,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
19,"Litrão - Ao Vivo","Matheus & Kauan",2295511,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
20,"Nem Doeu - Ao Vivo","Matheus & Kauan",2293880,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
21,"se essa vida fosse um filme","GIULIA BE",2269268,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0
22,"Graveto - Ao Vivo","Marília Mendonça",2154556,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
23,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2134253,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
