,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",5480425,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
2,"Investe Em Mim","Jonas Esticado",4504738,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Figurinha - Ao Vivo","Douglas & Vinicius",3919905,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
4,"Só Você","MC Rogerinho",3497656,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
5,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",3479403,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
6,"Cidade Inteira","Eric Land",3451989,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
7,"Oh Juliana",Niack,3378125,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
8,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",3359301,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
9,"Só Tem Eu","Zé Felipe",3287605,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
10,"Quero Você do Jeito Que Quiser","Marília Mendonça",3151017,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
11,Rita,Tierry,3096848,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
12,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",3024004,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
13,"Sogra - Ao Vivo",Dilsinho,2954057,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
14,"Tá Rocheda","Os Barões Da Pisadinha",2880312,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
15,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",2876899,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
16,"Nem Doeu - Ao Vivo","Matheus & Kauan",2849594,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
17,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2574289,https://open.spotify.com/track/034Wtb0MsgU2kIT7PWdi4c
18,"Me Gusta (with Cardi B & Myke Towers)",Anitta,2502635,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
