,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bipolar,"Mc Davi",7171844,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
2,"Volta Bebê, Volta Neném","Dj Guuga",6591135,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
3,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",6023163,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
4,"Tipo Gin - Ao Vivo","MC Kevin o Chris",5555122,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
5,"Liberdade (Quando o Grave Bate Forte)",Alok,4971902,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
6,"Disco Arranhado - Funk Remix",Malu,4788123,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
7,"Vida Louca","Mc Poze do Rodo",4676017,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
8,"good 4 u","Olivia Rodrigo",4651858,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
9,"Só Não Divulga","Fernando & Sorocaba",4422792,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
10,"Baby Me Atende","Matheus Fernandes",4349764,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
11,Paradigmas,"Jorge & Mateus",4320068,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
12,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",4314181,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
13,"Tapão Na Raba","Raí Saia Rodada",4084637,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
14,"Ele É Ele, Eu Sou Eu","Wesley Safadão",3776012,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
15,"Facas - Ao Vivo","Diego & Victor Hugo",3730303,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
16,Troca,"Jorge & Mateus",3718086,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
17,"Preta do Cabelo Cacheado","Th CDM",3641101,https://open.spotify.com/track/3lJ8BcGM1ROQ1ufneU3Qya
18,ATENÇÃO,"PEDRO SAMPAIO",3378335,https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED
19,"Não Pode Se Apaixonar","Xand Avião",3181495,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
20,Passatempo,"Wesley Safadão",3105885,https://open.spotify.com/track/3ODFNdnvb3EwcXk6DI6tGA
21,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",3051698,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
22,"É Problema","Matheus & Kauan",2986232,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
23,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2881840,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
24,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",2875580,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
25,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",2833699,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
26,"Volta Comigo BB","Zé Vaqueiro",2773382,https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc
27,"Troca de Calçada","Marília Mendonça",2746933,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
28,"Foi Pá Pum","Simone & Simaria",2707706,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
29,"FALA MAL DE MIM","PEDRO SAMPAIO",2686844,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
30,"deja vu","Olivia Rodrigo",2648333,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
31,"Deixa de Onda (Porra Nenhuma)",DENNIS,2628688,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
32,"MONTERO (Call Me By Your Name)","Lil Nas X",2604042,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
33,"Último Beijo","Bruno & Marrone",2555237,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
34,"Vou falar que não quero","Vitor Fernandes",2549131,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
35,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",2536123,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
36,Acaso,"Vitor Fernandes",2443355,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
37,Butter,BTS,2372393,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
38,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",2289275,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
39,"Ô Moça","MC Zaquin",2249213,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
40,"Espirra o Lança","Dj Serpinha",2147422,https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
41,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",2102862,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
42,"drivers license","Olivia Rodrigo",2096621,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
43,Sigilo,"Guilherme & Benuto",2048586,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
44,"Girl From Rio",Anitta,2036422,https://open.spotify.com/track/2plRom0urixt6BE8t7kOhQ
45,"Ele Não Tem","Jonas Esticado",2035942,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
46,M4,Teto,2018839,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
47,traitor,"Olivia Rodrigo",1948097,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
48,"Cadê o Amor","Zé Vaqueiro",1926723,https://open.spotify.com/track/1EHFiKkrppC5kXImn8LFBr
49,"Lance Individual","Jorge & Mateus",1908249,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
50,"Freio da Blazer",L7NNON,1847150,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
51,"Pingo de Dó - Ao Vivo","Hugo & Guilherme",1823691,https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw
52,Plutão,VMZ,1815215,https://open.spotify.com/track/3ydmNkAyYq0AKtG8sTfE9P
53,"Fala Comigo - Ao Vivo","Gusttavo Lima",1737592,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
54,"Amor da Despedida","Os Barões Da Pisadinha",1736556,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
55,"Esqueceu Foi Porra","Eric Land",1665911,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
56,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",1660422,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
57,Mds,Kawe,1645290,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
58,"favorite crime","Olivia Rodrigo",1637446,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
59,Morena,NATTAN,1595696,https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX
60,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1524392,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
61,"Desbloqueado - Ao Vivo","Diego & Victor Hugo",1516517,https://open.spotify.com/track/66HWIQEq6xO0IZ47AHrybG
62,Saturno,BIN,1510748,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
63,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1477222,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
64,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",1472112,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
65,"Preta do Cabelo Cacheado","Mc Don Juan",1443016,https://open.spotify.com/track/0Ve3XWcrsgy90xo0UL2syx
66,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",1436037,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
67,"Leave The Door Open","Bruno Mars",1428113,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
68,"MODO TURBO","Luísa Sonza",1406703,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
69,"Não Nasceu pra Namorar","MC Zaquin",1405497,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
70,"Localiza Aí BB","Vitor e Luan",1385406,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
71,"Investe Em Mim","Jonas Esticado",1352264,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
72,"Na Ponta do Pé - Brega Funk","Nadson O Ferinha",1325251,https://open.spotify.com/track/4VBhrKEJ9nWzaiyhM5L9ic
73,"Eu Tenho Medo","Zé Vaqueiro",1316156,https://open.spotify.com/track/7yjduLSgPntFlq79Cuzrfz
74,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1310735,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
75,"Watermelon Sugar","Harry Styles",1296863,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
76,brutal,"Olivia Rodrigo",1281460,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
77,"Levitating (feat. DaBaby)","Dua Lipa",1271910,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
78,"Blinding Lights","The Weeknd",1263527,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
79,"Cavalo de Tróia","Mc Kevin",1247666,https://open.spotify.com/track/7uXQAiHezf6VR7txWkS86Q
80,"Maçã Verde","MC Hariel",1244603,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
81,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1234335,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
82,"Doutora 3","Mc Kevin",1232528,https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv
83,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",1216895,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
84,Privilégio,"MC Luan da BS",1210498,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
85,"Cai de vagarinho até embaixo","Mc Rennan",1175557,https://open.spotify.com/track/2p04GXqx4j9sggMTFJpEBa
86,"Trajado de Glock Ela Joga na Cara","Tz da Coronel",1163984,https://open.spotify.com/track/2dcYBsq0wTqkJIlfNMGfrR
87,"Ama Sofre Chora","Pabllo Vittar",1151785,https://open.spotify.com/track/1iBMex2uCm0T0y70zsJklT
88,"Kiss Me More (feat. SZA)","Doja Cat",1149572,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
89,happier,"Olivia Rodrigo",1139867,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
90,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",1120988,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
91,"Não Te Quero",NATTAN,1118261,https://open.spotify.com/track/3cVF2ot6YuCD0RQY302gNz
92,"Nem On Nem Off",POCAH,1111680,https://open.spotify.com/track/6bgZv4VkqjBIS2vawz3RsU
93,"Amor e Fé - Acústico","Hungria Hip Hop",1105259,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
94,"Corte Americano","Filipe Ret",1101503,https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
95,"Cidade Inteira","Eric Land",1088370,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
96,"Volta por Baixo - Ao Vivo","Henrique & Juliano",1086517,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
97,Vagabundo,"Matheus & Kauan",1072883,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
98,"Sogra - Ao Vivo",Dilsinho,1048921,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
99,"Briga Feia - Ao Vivo","Henrique & Juliano",1044716,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
100,"Uma Ex (Ao Vivo)","Murilo Huff",1043576,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
101,"jealousy, jealousy","Olivia Rodrigo",1043574,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
102,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",1036446,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
103,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",1036087,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
