,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",5530668,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
2,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",5193992,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
3,"MODO TURBO","Luísa Sonza",5154203,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
4,"Amor ou o Litrão","Petter Ferraz",4662300,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
5,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",4444102,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
6,"Lance Individual","Jorge & Mateus",4250540,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
7,"Investe Em Mim","Jonas Esticado",4150470,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
8,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",4010503,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
9,"Ele É Ele, Eu Sou Eu","Wesley Safadão",3616702,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
10,"Amor da Despedida","Os Barões Da Pisadinha",3552126,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
11,"Só Tem Eu","Zé Felipe",3462400,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
12,"Figurinha - Ao Vivo","Douglas & Vinicius",3442501,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
13,Rita,Tierry,3359016,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
14,Letícia,"Zé Vaqueiro",3278699,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
15,"ALÔ AMBEV - funk remix","DJ Lucas Beat",3215334,https://open.spotify.com/track/4yD8WmB9NJVz1qYLD98iS1
16,"Rainha da Favela",LUDMILLA,3184320,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
17,"Tá Rocheda","Os Barões Da Pisadinha",3136364,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
18,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",3114159,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
19,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",2996268,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
20,"Maçã Verde","MC Hariel",2878494,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
21,"Cidade Inteira","Eric Land",2803528,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
22,"Facas - Ao Vivo","Diego & Victor Hugo",2800666,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
23,"Oh Juliana",Niack,2781552,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
24,"Ilusão (Cracolândia)","MC Hariel",2766162,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
25,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",2685934,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
26,"Sogra - Ao Vivo",Dilsinho,2677642,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
27,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",2584440,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
28,"Quero Você do Jeito Que Quiser","Marília Mendonça",2525106,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
29,"Nem Doeu - Ao Vivo","Matheus & Kauan",2503112,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
30,"Só Você","MC Rogerinho",2478655,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
31,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2420684,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
32,Nêga,"Tarcísio do Acordeon",2347379,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
33,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",2340871,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
34,"Amor e Fé - Acústico","Hungria Hip Hop",2287489,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
35,"Espetinho - Ao Vivo","Gusttavo Lima",2283651,https://open.spotify.com/track/1UF3sCkxXH4OE7ja83GRzj
36,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",2263906,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
37,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2207943,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom
38,"Comprei um Lança","Mc Jacaré",2187320,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
39,"Desejando Eu (Ao Vivo)","Murilo Huff",2154976,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
40,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",2093570,https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv
41,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2064161,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
42,"Não Valeu","Wesley Safadão",2003454,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
43,"Foi Pá Pum","Simone & Simaria",1990289,https://open.spotify.com/track/6F7tttrdq7aUdxXVeo0nKp
44,"É Problema","Matheus & Kauan",1974830,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
45,"Ele Não Tem","Jonas Esticado",1916959,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
46,"Me Gusta (with Cardi B & Myke Towers)",Anitta,1853623,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
47,"Blinding Lights","The Weeknd",1840115,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
48,Mds,Kawe,1833291,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
49,"Briga Feia - Ao Vivo","Henrique & Juliano",1723452,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
50,"Último Beijo","Bruno & Marrone",1720355,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
51,"Vai Ter Que Aguentar","Mc Don Juan",1712066,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
52,"Eu Tenho Medo","Zé Vaqueiro",1669289,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
53,"Faz a Pose","MC Teteu",1640503,https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
54,"Não Vai Embora",Dilsinho,1570076,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
55,,,1559765,https://open.spotify.com/track/74kCf4Yd2jr91yinngEt0P
56,"Litrão - Ao Vivo","Matheus & Kauan",1516649,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
