,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",7681062,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
2,"Volta Bebê, Volta Neném","Dj Guuga",7557797,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
3,"Disco Arranhado - Funk Remix",Malu,6094954,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
4,"Liberdade (Quando o Grave Bate Forte)",Alok,5923369,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
5,"Tapão Na Raba","Raí Saia Rodada",5153159,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
6,"Facas - Ao Vivo","Diego & Victor Hugo",4802869,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
7,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",4762870,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
8,Paradigmas,"Jorge & Mateus",4664326,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
9,"Ele É Ele, Eu Sou Eu","Wesley Safadão",4612520,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
10,"Vida Louca","Mc Poze do Rodo",4539396,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
11,"Só Não Divulga","Fernando & Sorocaba",4412083,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
12,Bipolar,"Mc Davi",4382946,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
13,"Não Pode Se Apaixonar","Xand Avião",4044086,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
14,"Girl From Rio",Anitta,3968831,https://open.spotify.com/track/2plRom0urixt6BE8t7kOhQ
15,"Preta do Cabelo Cacheado","Th CDM",3897426,https://open.spotify.com/track/3lJ8BcGM1ROQ1ufneU3Qya
16,"Tipo Gin - Ao Vivo","MC Kevin o Chris",3774195,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
17,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",3456388,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
18,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",3353660,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
19,"Deixa de Onda (Porra Nenhuma)",DENNIS,3300620,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
20,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",3234192,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
21,"Lance Individual","Jorge & Mateus",3180293,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
22,"FALA MAL DE MIM","PEDRO SAMPAIO",3164313,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
23,"Foi Pá Pum","Simone & Simaria",3131365,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
24,"MONTERO (Call Me By Your Name)","Lil Nas X",3062058,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
25,"Volta Comigo BB","Zé Vaqueiro",3045563,https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc
26,Acaso,"Vitor Fernandes",3015661,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
27,"Baby Me Atende","Matheus Fernandes",2972151,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
28,"Troca de Calçada","Marília Mendonça",2939078,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
29,"É Problema","Matheus & Kauan",2933354,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
30,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",2862940,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
