,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",8593318,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
2,"Tapão Na Raba","Raí Saia Rodada",6560644,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
3,"Facas - Ao Vivo","Diego & Victor Hugo",5699802,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
4,"Ele É Ele, Eu Sou Eu","Wesley Safadão",5635132,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
5,"Esquema Preferido","DJ Ivis",5088186,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
6,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",4967236,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
7,"Troca de Calçada","Marília Mendonça",4055024,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
8,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",3873381,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
9,"Lance Individual","Jorge & Mateus",3764495,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
10,M4,Teto,3740507,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
11,Paradigmas,"Jorge & Mateus",3626265,https://open.spotify.com/track/158ukl5rih76dOEsp0I91H
12,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",3575792,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
13,"FALA MAL DE MIM","PEDRO SAMPAIO",3370316,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
14,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",3361413,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
15,Acaso,"Vitor Fernandes",3310918,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
16,"Último Beijo","Bruno & Marrone",3251662,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
17,"Amor da Despedida","Os Barões Da Pisadinha",3229859,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
18,"Foi Pá Pum","Simone & Simaria",3192165,https://open.spotify.com/track/1Cqg0nJOZRyvltkof8tjqA
19,Mds,Kawe,3159442,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
20,"Disco Arranhado - Funk Remix",Malu,3026719,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
21,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",2915477,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
22,"Deixa de Onda (Porra Nenhuma)",DENNIS,2915444,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
23,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",2863423,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
24,"Fala Comigo - Ao Vivo","Gusttavo Lima",2809137,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
25,"Ô Moça","MC Zaquin",2796700,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
26,"Ele Não Tem","Jonas Esticado",2665579,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
27,"É Problema","Matheus & Kauan",2585279,https://open.spotify.com/track/43VBV6uVyKAHbtrRpizoRK
28,"Só Não Divulga","Fernando & Sorocaba",2546382,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
29,"Recairei - Ao Vivo","Os Barões Da Pisadinha",2524783,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
30,Saturno,BIN,2458456,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
31,Xerecard,"Jeff Costa",2412147,https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
32,"Não Pode Se Apaixonar","Xand Avião",2399969,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
33,"Preta do Cabelo Cacheado","Th CDM",2300450,https://open.spotify.com/track/6SA8c5JbUZF7HyAeDX4iiB
34,"MODO TURBO","Luísa Sonza",2223466,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
35,"Investe Em Mim","Jonas Esticado",2207625,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
36,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",2103585,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
37,"Maçã Verde","MC Hariel",2019153,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
38,"Amor e Fé - Acústico","Hungria Hip Hop",1964968,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
39,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",1874062,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
40,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1866240,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
41,"Cidade Inteira","Eric Land",1844657,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
42,Privilégio,"MC Luan da BS",1820307,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
43,Hackearam-Me,Tierry,1808763,https://open.spotify.com/track/5NeBu4oKweDXIjhvYqtbLo
44,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",1722848,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
45,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",1720080,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
46,telepatía,"Kali Uchis",1710657,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
47,"Heartbreak Anniversary",Giveon,1677706,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
48,"Freio da Blazer",L7NNON,1613967,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
49,"Blinding Lights","The Weeknd",1608346,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
50,"Amarelo, azul e branco",ANAVITÓRIA,1602256,https://open.spotify.com/track/2LOIoeI16A8jjKubPKoCSa
51,"Espetinho - Ao Vivo","Gusttavo Lima",1556031,https://open.spotify.com/track/52yvnBV90B2ZUC5b25cFer
52,"Vou falar que não quero","Vitor Fernandes",1519426,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
53,"Tá Rocheda","Os Barões Da Pisadinha",1513538,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
54,"Watermelon Sugar","Harry Styles",1486905,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
55,"Amor ou o Litrão","Petter Ferraz",1469696,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
56,"drivers license","Olivia Rodrigo",1459858,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
57,"F* F* M*","Filipe Ret",1432712,https://open.spotify.com/track/2D13ouGidILQGRVnihYuCF
58,"Sogra - Ao Vivo",Dilsinho,1428665,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
59,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",1420719,https://open.spotify.com/track/7snoDTJeoJ2oVMhf7eoF3t
60,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1416053,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
61,"Uma Cavala Mesmo","MC Meno K",1413084,https://open.spotify.com/track/1bK6UaFcArJvIaMeKPTFSm
62,"Ilusão (Cracolândia)","MC Hariel",1389423,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
63,"Cai de vagarinho até embaixo","Mc Rennan",1389115,https://open.spotify.com/track/2p04GXqx4j9sggMTFJpEBa
64,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",1358805,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
65,"Alive (It Feels Like)",Alok,1343269,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
66,"Eu Tenho Medo","Zé Vaqueiro",1326257,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
67,Letícia,"Zé Vaqueiro",1282505,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
68,"Figurinha - Ao Vivo","Douglas & Vinicius",1273424,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
69,"Hold On","Justin Bieber",1268380,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
70,Nêga,"Tarcísio do Acordeon",1267674,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
71,"Astronaut In The Ocean","Masked Wolf",1262251,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
72,"É Só Botada","MC Levin",1245165,https://open.spotify.com/track/07c9lzwx1IIm101PnB4BZu
73,"Volta por Baixo - Ao Vivo","Henrique & Juliano",1237499,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
74,"The Business",Tiësto,1175853,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
75,"Quero Você do Jeito Que Quiser","Marília Mendonça",1165458,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
76,"Uma Ex (Ao Vivo)","Murilo Huff",1129005,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
77,"Nem Doeu - Ao Vivo","Matheus & Kauan",1121039,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
78,"Faz a Pose","MC Teteu",1115105,https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
79,"Me Chama Mozão","Naiara Azevedo",1095625,https://open.spotify.com/track/21jLgG2WsiIEuuzl0OupzN
80,"Despedida De Casal","Gustavo Mioto",1091688,https://open.spotify.com/track/0V4ZIBLOxq85pFQATKtItp
81,"Localiza Aí BB","Vitor e Luan",1088505,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
82,"Tô Preocupada (Calma Amiga) (feat. Anitta)",Rebecca,1086882,https://open.spotify.com/track/70jrNdP6R9AKHazjaurG3Z
83,"Save Your Tears","The Weeknd",1085821,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
84,"Volume 3","Douglas & Vinicius",1084290,https://open.spotify.com/track/5gIVPysvKFh2gtwsicafnN
85,"Só Tem Eu","Zé Felipe",1083405,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
86,"Briga Feia - Ao Vivo","Henrique & Juliano",1082047,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
87,"Desejando Eu (Ao Vivo)","Murilo Huff",1081586,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
88,Adorei,"Grupo Menos É Mais",1065096,https://open.spotify.com/track/1jweGFaVZxEVrOHKsLpPY4
89,Sigilo,"Guilherme & Benuto",1060247,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
90,Deprê,"Marília Mendonça",1051370,https://open.spotify.com/track/2BRGOqLBHFJclDM6PB2dnd
91,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",1030201,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
92,777-666,Matuê,1017116,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
93,Hylander,Abbot,1011422,https://open.spotify.com/track/3sOcmmmWB7dqyziUVLXpTi
94,"Don't Start Now","Dua Lipa",1002003,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
95,"Pode Sumir","Luíza & Maurílio",1001940,https://open.spotify.com/track/7CDdyDigw7e3zFr3k7uKMY
96,"Esqueceu Foi Porra","Eric Land",996211,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
97,positions,"Ariana Grande",995246,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
98,"Bloqueia Eu - Remix","DJ Lucas Beat",987453,https://open.spotify.com/track/0VxVv5IKWXj5o6FVO7zKXN
99,"Leave The Door Open","Bruno Mars",982715,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
100,"Don't Say Goodbye (feat. Tove Lo)",Alok,968738,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
101,"Esses Vícios","Zé Neto & Cristiano",968616,https://open.spotify.com/track/2InUVOBY515umeuwdQtsQ4
102,"Apaga Luz, Apaga Tudo - Challenge","DJ TN Beat",962429,https://open.spotify.com/track/0v192IDdClYsae1YWxhTO9
103,Streets,"Doja Cat",962269,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
104,"Volta Comigo BB","Zé Vaqueiro",957859,https://open.spotify.com/track/2N2MrTCpwNQdbvlk0Kmz3c
105,"Rainha da Favela",LUDMILLA,953266,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
106,"Só Tapão Nervoso Vs Toma Catucada Violenta","DJ DN",951462,https://open.spotify.com/track/2BEGTomoM88uGMOzRmZirl
107,War,"Filipe Ret",944755,https://open.spotify.com/track/63400Pm7x5Awe4NH82oRYe
