,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Meu Pedaço de Pecado","João Gomes",8937872,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
2,"Não, Não Vou","Mari Fernandez",5902222,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
3,"Aquelas Coisas","João Gomes",5879783,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
4,"Baby Me Atende","Matheus Fernandes",5631843,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
5,"Ficha Limpa","Gusttavo Lima",5603844,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
6,MORENA,"Luan Santana",5556624,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
7,"Não Nasceu pra Namorar","MC Zaquin",4920033,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
8,"Se For Amor","João Gomes",4820672,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
9,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",4738601,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
10,Bipolar,"Mc Davi",4606798,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
11,Beggin',Måneskin,4471528,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
12,"Só Não Divulga","Fernando & Sorocaba",4395532,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
13,Troca,"Jorge & Mateus",4036148,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
14,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",3958577,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
15,"Se Joga no Passinho","Brisa Star",3867908,https://open.spotify.com/track/6w9Rge1G5t5zAMLk2WNnXh
16,"Chamo Teu Vulgo Malvadão","mc jhenny",3830171,https://open.spotify.com/track/4mdlehe2znCTAzlFhrOa09
17,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",3627062,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
18,"Vida Louca","Mc Poze do Rodo",3587917,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
19,Passatempo,"Wesley Safadão",3512308,https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9
20,penhasco.,"Luísa Sonza",3505387,https://open.spotify.com/track/5VTqW8raQYnj2avZ27nO2a
21,"Poesia Acústica 11: Nada Mudou","Pineapple StormTv",3153624,https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E
22,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",3091893,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
23,"Tipo Gin - Ao Vivo","MC Kevin o Chris",3083884,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
24,Vagabundo,"Matheus & Kauan",3054425,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
