,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,5239636,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Máquina do Tempo",Matuê,4794016,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
3,"Investe Em Mim","Jonas Esticado",4498188,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
4,777-666,Matuê,4390172,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
5,"Recairei - Ao Vivo","Os Barões Da Pisadinha",3915292,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
6,"Comprei um Lança","Mc Jacaré",3514930,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
7,"Desce Pro Play (PA PA PA)","Mc Zaac",3453884,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
8,"Quero Você do Jeito Que Quiser","Marília Mendonça",3406639,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
9,Cogulândia,Matuê,3277642,https://open.spotify.com/track/5T6mY3sQbvVfLnertXdoST
10,"É Sal",Matuê,3219389,https://open.spotify.com/track/2c80HnIOPMmQQVQllQEWb5
11,"Sogra - Ao Vivo",Dilsinho,3162556,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
12,Antes,Matuê,3131949,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF
13,"Tá Rocheda","Os Barões Da Pisadinha",2932560,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
14,"Só Você","MC Rogerinho",2920864,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
15,"Vai Ter Que Aguentar","Mc Don Juan",2907345,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
16,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2859624,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
17,"Na Raba Toma Tapão",Niack,2826496,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
18,"Gorilla Roxo",Matuê,2786094,https://open.spotify.com/track/0bV0LtjtZH76gD0ujPYS3n
19,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2734028,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
20,Ranking,"Jorge & Mateus",2724366,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
21,TOMA,"Luísa Sonza",2677677,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
22,"WAP (feat. Megan Thee Stallion)","Cardi B",2652943,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
23,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",2638492,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
24,"Figurinha - Ao Vivo","Douglas & Vinicius",2571451,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
25,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",2533773,https://open.spotify.com/track/3AV1KI22k1jGMz792lDrj1
26,"Deus é por nós","MC Marks",2491821,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
27,"Litrão - Ao Vivo","Matheus & Kauan",2447341,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
28,"Deve ser horrível dormir sem mim","Manu Gavassi",2426472,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j
29,"Nem Doeu - Ao Vivo","Matheus & Kauan",2417304,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
30,"Tudo Aconteceu","MC Du Black",2327926,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
31,"se essa vida fosse um filme","GIULIA BE",2321821,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0
32,Flores,Vitão,2247050,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
33,"Te Prometo",DENNIS,2207894,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
34,BRABA,"Luísa Sonza",2157846,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
35,"Watermelon Sugar","Harry Styles",2149040,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,"S de Saudade","Luíza & Maurílio",2146367,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
37,"Não Vai Embora",Dilsinho,2144737,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
38,"Briga Feia - Ao Vivo","Henrique & Juliano",2140777,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
39,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",2135861,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
40,Talarica,"Rennan da Penha",2126967,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2
41,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2123816,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
42,"Graveto - Ao Vivo","Marília Mendonça",2114966,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
