,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Meu Pedaço de Pecado","João Gomes",8091134,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
2,"Não, Não Vou","Mari Fernandez",6226941,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
3,"Baby Me Atende","Matheus Fernandes",5655415,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
4,Bipolar,"Mc Davi",5428371,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
5,"Volta Bebê, Volta Neném","Dj Guuga",5372649,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
6,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",5075090,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
7,"Não Nasceu pra Namorar","MC Zaquin",5032992,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
8,"Ficha Limpa","Gusttavo Lima",4934519,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
9,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",4738270,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
10,"Aquelas Coisas","João Gomes",4501661,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
11,Troca,"Jorge & Mateus",4264777,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
12,MORENA,"Luan Santana",4233907,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
13,"Só Não Divulga","Fernando & Sorocaba",4229116,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
14,Beggin',Måneskin,3812917,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
15,"Vida Louca","Mc Poze do Rodo",3736273,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
16,"Poesia Acústica 11: Nada Mudou","Pineapple StormTv",3566186,https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E
17,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",3437160,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
18,"Tipo Gin - Ao Vivo","MC Kevin o Chris",3367160,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
19,"good 4 u","Olivia Rodrigo",3317286,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20,Passatempo,"Wesley Safadão",3260165,https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9
21,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",3143690,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
22,Paradigmas,"Jorge & Mateus",2920839,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
23,"Disco Arranhado - Funk Remix",Malu,2895292,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
24,"Liberdade (Quando o Grave Bate Forte)",Alok,2829488,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
25,Vagabundo,"Matheus & Kauan",2809210,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
26,"Chamo Teu Vulgo Malvadão","mc jhenny",2787919,https://open.spotify.com/track/4mdlehe2znCTAzlFhrOa09
27,"Facas - Ao Vivo","Diego & Victor Hugo",2780502,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
28,ATENÇÃO,"PEDRO SAMPAIO",2774407,https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED
29,"Volta Comigo BB","Zé Vaqueiro",2753360,https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc
30,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",2648328,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
31,"Ele É Ele, Eu Sou Eu","Wesley Safadão",2577343,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
32,"Tapão Na Raba","Raí Saia Rodada",2538985,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
33,Morena,NATTAN,2482535,https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX
34,"Se Joga no Passinho","Brisa Star",2469943,https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb
35,"Pingo de Dó - Ao Vivo","Hugo & Guilherme",2465580,https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw
36,"MONTERO (Call Me By Your Name)","Lil Nas X",2446009,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
37,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2386513,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
38,"Localiza Aí BB","Vitor e Luan",2382253,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
39,"Desbloqueado - Ao Vivo","Diego & Victor Hugo",2322818,https://open.spotify.com/track/66HWIQEq6xO0IZ47AHrybG
40,"É Problema","Matheus & Kauan",2280699,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
41,"Vou falar que não quero","Vitor Fernandes",2180612,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
42,"Troca de Calçada","Marília Mendonça",2172070,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
43,"Triste com T","Pabllo Vittar",2146053,https://open.spotify.com/track/0L8nJt3b5LjXvFfDt7x2pP
44,"O Ex da Sua Vida","Gusttavo Lima",2110943,https://open.spotify.com/track/17Gh6E6eRfAAw7sCgmnkFc
45,Galega,"Zé Felipe",2095081,https://open.spotify.com/track/1vims9R9tOTb8f4Hx3JD0B
46,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",2003536,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
47,"Se For Amor","João Gomes",2003468,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
48,"Foi Pá Pum","Simone & Simaria",1992659,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
49,Plutão,VMZ,1931098,https://open.spotify.com/track/3ydmNkAyYq0AKtG8sTfE9P
50,"Baile do Cinga do 12","MC Gontijo",1923796,https://open.spotify.com/track/2uLt06E9xCZVPFXg9v794o
51,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",1911907,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
52,Acaso,"Vitor Fernandes",1902621,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
53,"Último Beijo","Bruno & Marrone",1722835,https://open.spotify.com/track/56kClQGx58w4meMz1JwQvB
54,"deja vu","Olivia Rodrigo",1709315,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
55,traitor,"Olivia Rodrigo",1703336,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
56,"Ô Moça","MC Zaquin",1672906,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
57,"Preta do Cabelo Cacheado","Th CDM",1614744,https://open.spotify.com/track/73x4PDzlTdJkAa8GtjnUs0
58,"Freio da Blazer",L7NNON,1577500,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
59,Sigilo,"Guilherme & Benuto",1564311,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
60,"Eu Rebolo Sim","Mc Branquinha",1556261,https://open.spotify.com/track/1uP6LzGFVwX2h2D39mOglz
61,"Não Pode Se Apaixonar","Xand Avião",1532604,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
62,"Eu Tenho a Senha","João Gomes",1530947,https://open.spotify.com/track/2YBKO08Wkc3eP5JdUSwng8
63,"Deixa Eu Falar pra Você","Josué Bom de Faixa",1499265,https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
64,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1461519,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
65,"Deixa de Onda (Porra Nenhuma)",DENNIS,1442269,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
66,"favorite crime","Olivia Rodrigo",1430183,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
67,"Coração de Isca","Bruno & Marrone",1429208,https://open.spotify.com/track/4lHoT8PvMpMg1l5kdxqNmD
68,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",1381161,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
69,"drivers license","Olivia Rodrigo",1377385,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
70,"Corte Americano","Filipe Ret",1354403,https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
71,"Pede Pra Voltar","Cleber & Cauan",1343598,https://open.spotify.com/track/5IjLkZBAHwd77I2gAOKZLC
72,"Eu Tenho Medo","Zé Vaqueiro",1343475,https://open.spotify.com/track/7yjduLSgPntFlq79Cuzrfz
73,"Cadê o Amor","Zé Vaqueiro",1303035,https://open.spotify.com/track/1EHFiKkrppC5kXImn8LFBr
74,"Lance Individual","Jorge & Mateus",1296905,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
75,"Ele Não Tem","Jonas Esticado",1295956,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
76,"Uma Ex (Ao Vivo)","Murilo Huff",1279292,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
77,"Bad Habits","Ed Sheeran",1275778,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
78,"FALA MAL DE MIM","PEDRO SAMPAIO",1264290,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
79,Probleminha,"DJ Ivis",1258020,https://open.spotify.com/track/5QhvzLyzSLSkicF3xSRSCf
80,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1247930,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
81,"Levitating (feat. DaBaby)","Dua Lipa",1246494,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
82,"Mete Um Block Nele","João Gomes",1224326,https://open.spotify.com/track/1QiZYlh3oZg3zgn8eS99aB
83,"Watermelon Sugar","Harry Styles",1214721,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
84,"Mtg Ta Brotando No Plantão Pra Tira Foto Com Revolver","Dj Wesley Gonzaga",1209260,https://open.spotify.com/track/1pPuodu8A0LxAuVhf3QniW
85,"Leave The Door Open","Bruno Mars",1207649,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
86,"Ele Não Te Merece","Wesley Safadão",1198540,https://open.spotify.com/track/7nsk0cwY5kfxBT21WEzmC0
87,"Vou Te Botar","MC Meno K",1194327,https://open.spotify.com/track/3O9i9fpKuzebZezXUwJh69
88,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",1190455,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
89,"Kiss Me More (feat. SZA)","Doja Cat",1180229,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
