,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Não, Não Vou","Mari Fernandez",5668620,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
2,Bipolar,"Mc Davi",5425989,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
3,"Meu Pedaço de Pecado","João Gomes",5369356,https://open.spotify.com/track/5dApIvFnEdEx0PZvPJF22d
4,"Volta Bebê, Volta Neném","Dj Guuga",5230019,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
5,"Baby Me Atende","Matheus Fernandes",5181373,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
6,"Não Nasceu pra Namorar","MC Zaquin",4922286,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
7,"Ficha Limpa","Gusttavo Lima",4916220,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
8,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",4831250,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
9,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",4771692,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
10,"Só Não Divulga","Fernando & Sorocaba",4244945,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
11,Troca,"Jorge & Mateus",4177573,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
12,"Poesia Acústica 11: Nada Mudou","Pineapple StormTv",4073699,https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E
13,"Vida Louca","Mc Poze do Rodo",4030504,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
14,MORENA,"Luan Santana",3589491,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
15,"Tipo Gin - Ao Vivo","MC Kevin o Chris",3517332,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
16,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",3389275,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
17,"good 4 u","Olivia Rodrigo",3313206,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
18,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",3169042,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
19,Passatempo,"Wesley Safadão",3110286,https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9
20,"Disco Arranhado - Funk Remix",Malu,3081417,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
21,"Triste com T","Pabllo Vittar",3040612,https://open.spotify.com/track/0L8nJt3b5LjXvFfDt7x2pP
22,"Liberdade (Quando o Grave Bate Forte)",Alok,2995739,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
23,ATENÇÃO,"PEDRO SAMPAIO",2935128,https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED
24,Paradigmas,"Jorge & Mateus",2868582,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
25,"Ele É Ele, Eu Sou Eu","Wesley Safadão",2778886,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
26,"Tapão Na Raba","Raí Saia Rodada",2753092,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
27,"Facas - Ao Vivo","Diego & Victor Hugo",2732947,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
28,"Volta Comigo BB","Zé Vaqueiro",2691132,https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc
29,"Aquelas Coisas","João Gomes",2616425,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
30,Beggin',Måneskin,2609892,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
31,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2402571,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
32,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",2391969,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
33,Morena,NATTAN,2386776,https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX
34,"MONTERO (Call Me By Your Name)","Lil Nas X",2336495,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
35,"Pingo de Dó - Ao Vivo","Hugo & Guilherme",2321267,https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw
36,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",2301231,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
37,"É Problema","Matheus & Kauan",2280003,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
38,"Preta do Cabelo Cacheado","Th CDM",2251324,https://open.spotify.com/track/73x4PDzlTdJkAa8GtjnUs0
39,"Vou falar que não quero","Vitor Fernandes",2221328,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
40,Plutão,VMZ,2061055,https://open.spotify.com/track/3ydmNkAyYq0AKtG8sTfE9P
41,"Troca de Calçada","Marília Mendonça",2058159,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
42,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",2054070,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
43,"Foi Pá Pum","Simone & Simaria",2052854,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
44,"Localiza Aí BB","Vitor e Luan",2041027,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
45,Acaso,"Vitor Fernandes",1999068,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
46,Vagabundo,"Matheus & Kauan",1981978,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
47,"Desbloqueado - Ao Vivo","Diego & Victor Hugo",1958759,https://open.spotify.com/track/66HWIQEq6xO0IZ47AHrybG
48,"Último Beijo","Bruno & Marrone",1772681,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
49,"Deixa de Onda (Porra Nenhuma)",DENNIS,1761350,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
50,"Não Pode Se Apaixonar","Xand Avião",1755275,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
51,"Baile do Cinga do 12","MC Gontijo",1737328,https://open.spotify.com/track/2uLt06E9xCZVPFXg9v794o
52,"deja vu","Olivia Rodrigo",1731647,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
53,"Ô Moça","MC Zaquin",1677999,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
54,"Freio da Blazer",L7NNON,1664785,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
55,Galega,"Zé Felipe",1660867,https://open.spotify.com/track/1vims9R9tOTb8f4Hx3JD0B
56,traitor,"Olivia Rodrigo",1595389,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
57,Sigilo,"Guilherme & Benuto",1581733,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
58,"A Lua","Pabllo Vittar",1551501,https://open.spotify.com/track/5yKXn2WXISKovZSzczhBI9
59,Ânsia,"Pabllo Vittar",1492279,https://open.spotify.com/track/3KgZPCgxOKqOeR5VEZXK43
60,"Zap Zum","Pabllo Vittar",1485430,https://open.spotify.com/track/7zyZ9yPXIQebb79PrMghpV
61,"Ama Sofre Chora","Pabllo Vittar",1483165,https://open.spotify.com/track/6vZaNHrGvtGRKyZBceaRV7
62,"Ele Não Tem","Jonas Esticado",1478520,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
63,Apaixonada,"Pabllo Vittar",1413419,https://open.spotify.com/track/4gqJgiZDOoLrKNN7bmvYKa
64,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",1400683,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
65,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1398089,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
66,"FALA MAL DE MIM","PEDRO SAMPAIO",1395693,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
67,"Ultra Som","Pabllo Vittar",1394131,https://open.spotify.com/track/22xeSdbkS1rjlw0J7alewY
68,"favorite crime","Olivia Rodrigo",1388752,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
69,"Cadê o Amor","Zé Vaqueiro",1382252,https://open.spotify.com/track/1EHFiKkrppC5kXImn8LFBr
70,"Corte Americano","Filipe Ret",1379980,https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
71,"Eu Tenho Medo","Zé Vaqueiro",1372696,https://open.spotify.com/track/7yjduLSgPntFlq79Cuzrfz
72,"drivers license","Olivia Rodrigo",1357550,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
73,"Se Joga no Passinho","Brisa Star",1355861,https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb
74,"Bang Bang","Pabllo Vittar",1349911,https://open.spotify.com/track/0fmoN2m4nuA4qGShcg3TuK
75,"Lance Individual","Jorge & Mateus",1322402,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
76,"Vou Te Botar","MC Meno K",1315159,https://open.spotify.com/track/3O9i9fpKuzebZezXUwJh69
77,"Chamo Teu Vulgo Malvadão","mc jhenny",1305356,https://open.spotify.com/track/4mdlehe2znCTAzlFhrOa09
78,"Esqueceu Foi Porra","Eric Land",1288338,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
79,M4,Teto,1288199,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
80,"Watermelon Sugar","Harry Styles",1281874,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
81,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",1249714,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
82,"Bad Habits","Ed Sheeran",1240746,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
83,"Coração de Isca","Bruno & Marrone",1240650,https://open.spotify.com/track/2Nlf97QqqcZ2x9Qb4h1Qt2
84,Butter,BTS,1231962,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
85,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1216904,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
86,"Deixa Eu Falar pra Você","Josué Bom de Faixa",1216817,https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
87,"Kiss Me More (feat. SZA)","Doja Cat",1202160,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
88,"Uma Ex (Ao Vivo)","Murilo Huff",1201109,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
89,"Ele Não Te Merece","Wesley Safadão",1200338,https://open.spotify.com/track/7nsk0cwY5kfxBT21WEzmC0
90,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",1193870,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
91,"Doutora 3","Mc Kevin",1188894,https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv
92,"Levitating (feat. DaBaby)","Dua Lipa",1187892,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
93,"Leave The Door Open","Bruno Mars",1174296,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
94,"Eu Rebolo Sim","Mc Branquinha",1163955,https://open.spotify.com/track/1HSsux9a3sbuIRPb5xFEwb
95,Gueto,IZA,1154118,https://open.spotify.com/track/2AzBHIVlSYb0fx8zHWQIgl
96,"Pede Pra Voltar","Cleber & Cauan",1149156,https://open.spotify.com/track/5IjLkZBAHwd77I2gAOKZLC
97,"Blinding Lights","The Weeknd",1133789,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
98,"Não é Papel de Homem","Pabllo Vittar",1131201,https://open.spotify.com/track/1hzP84H4vKVXVhPdG6exeT
99,"Na Ponta do Pé - Brega Funk","Nadson O Ferinha",1126320,https://open.spotify.com/track/4VBhrKEJ9nWzaiyhM5L9ic
100,"Investe Em Mim","Jonas Esticado",1115689,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
101,"MODO TURBO","Luísa Sonza",1095029,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
102,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1094177,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
103,"Fala Comigo - Ao Vivo","Gusttavo Lima",1089903,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
104,"Amor da Despedida","Os Barões Da Pisadinha",1080114,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
105,"Eu Tenho a Senha","João Gomes",1055920,https://open.spotify.com/track/2YBKO08Wkc3eP5JdUSwng8
106,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",1047830,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
107,"Mtg Ta Brotando No Plantão Pra Tira Foto Com Revolver","Dj Wesley Gonzaga",1043163,https://open.spotify.com/track/1pPuodu8A0LxAuVhf3QniW
108,happier,"Olivia Rodrigo",1034936,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
109,"Preta do Cabelo Cacheado","Mc Don Juan",1026119,https://open.spotify.com/track/0Ve3XWcrsgy90xo0UL2syx
110,BONEKINHA,"Gloria Groove",1024778,https://open.spotify.com/track/79Djb1E319BwnYZ8cEA1mQ
111,"You Right","Doja Cat",1019743,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
112,"Espirra o Lança","Dj Serpinha",1019709,https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
113,Saturno,BIN,1017075,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
114,"Ei Tudo Bem","MC Zaquin",1000645,https://open.spotify.com/track/3yNHwvq8n95NJTBILYEciD
115,"Espetinho - Ao Vivo","Gusttavo Lima",986636,https://open.spotify.com/track/52yvnBV90B2ZUC5b25cFer
116,"Se For Amor","João Gomes",979941,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
117,"Os Menino da Pecuária","Léo & Raphael",973198,https://open.spotify.com/track/49QpcTWIP16YgGLmiPDvTI
118,"jealousy, jealousy","Olivia Rodrigo",972992,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
119,"Amando Individual","Felipe Araújo",971616,https://open.spotify.com/track/6WhnioyjsbxNSpQhCXhYv6
120,"Volta por Baixo - Ao Vivo","Henrique & Juliano",968668,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
121,"Não Parei De Sofrer","Gustavo Mioto",966726,https://open.spotify.com/track/4zN7Kfk6s75jBOEehLHzV2
122,Storiezin,"Raí Saia Rodada",966599,https://open.spotify.com/track/1h6a1gcgHa4hg09xEmue3V
123,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",964775,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
124,Probleminha,"DJ Ivis",956320,https://open.spotify.com/track/5QhvzLyzSLSkicF3xSRSCf
125,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",954344,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
126,"Apê 1001",BIN,953485,https://open.spotify.com/track/3q6ZCGgFDIVCJQ5XG4JTL2
