,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,5589632,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Investe Em Mim","Jonas Esticado",4407368,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Desce Pro Play (PA PA PA)","Mc Zaac",3652484,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
4,"Quero Você do Jeito Que Quiser","Marília Mendonça",3109980,https://open.spotify.com/track/51uXmhqGR76tT2UeKZyeN6
5,"Deve ser horrível dormir sem mim","Manu Gavassi",3097015,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j
6,"Na Raba Toma Tapão",Niack,3093478,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
7,"Sogra - Ao Vivo",Dilsinho,3067169,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
8,"Volta por Baixo - Ao Vivo","Henrique & Juliano",3022549,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
9,"Vai Ter Que Aguentar","Mc Don Juan",2957121,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
10,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",2948147,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
11,"Comprei um Lança","Mc Jacaré",2931630,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
12,Ranking,"Jorge & Mateus",2823150,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
13,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2743026,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
14,"Deus é por nós","MC Marks",2685597,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
15,"Tudo Aconteceu","MC Du Black",2612002,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
16,"Tá Rocheda","Os Barões Da Pisadinha",2515516,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
17,"WAP (feat. Megan Thee Stallion)","Cardi B",2464171,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
18,TOMA,"Luísa Sonza",2463256,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
19,Flores,Vitão,2461065,https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl
20,"Nem Doeu - Ao Vivo","Matheus & Kauan",2434825,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
21,"Litrão - Ao Vivo","Matheus & Kauan",2431798,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
22,"se essa vida fosse um filme","GIULIA BE",2430147,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0
23,"Recairei - Ao Vivo","Os Barões Da Pisadinha",2406886,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
24,"S de Saudade","Luíza & Maurílio",2323083,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
25,"Graveto - Ao Vivo","Marília Mendonça",2297156,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
26,BRABA,"Luísa Sonza",2267423,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
27,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",2258394,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
28,"Te Prometo",DENNIS,2224815,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
29,"Desejando Eu (Ao Vivo)","Murilo Huff",2212285,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
30,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",2198322,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
31,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",2186555,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
32,"Watermelon Sugar","Harry Styles",2177705,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,"Figurinha - Ao Vivo","Douglas & Vinicius",2152784,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
34,"Viva Voz - Ao Vivo","Lauana Prado",2144248,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
35,"Ice Cream (with Selena Gomez)",BLACKPINK,2117175,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
36,"Não Vai Embora",Dilsinho,2096672,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
37,Dynamite,BTS,2057463,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
38,Talarica,"Rennan da Penha",2015110,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2
39,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",1986453,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
40,"Só Você","MC Rogerinho",1965327,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
41,"Despedida - Ao Vivo","Wesley Safadão",1940331,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
