,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,5770325,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Investe Em Mim","Jonas Esticado",4726975,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Desce Pro Play (PA PA PA)","Mc Zaac",3781538,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
4,"Recairei - Ao Vivo","Os Barões Da Pisadinha",3633429,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
5,"Comprei um Lança","Mc Jacaré",3468650,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
6,"Sogra - Ao Vivo",Dilsinho,3347608,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
7,"Quero Você do Jeito Que Quiser","Marília Mendonça",3344966,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
8,"Volta por Baixo - Ao Vivo","Henrique & Juliano",3214611,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
9,"Na Raba Toma Tapão",Niack,3134377,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
10,"Vai Ter Que Aguentar","Mc Don Juan",3086048,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
11,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",3021282,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
12,Ranking,"Jorge & Mateus",2924376,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
13,"Tá Rocheda","Os Barões Da Pisadinha",2871528,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
14,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",2805172,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
15,"Deve ser horrível dormir sem mim","Manu Gavassi",2679832,https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j
