,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",5380011,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
2,"Investe Em Mim","Jonas Esticado",4342941,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Só Tem Eu","Zé Felipe",3716461,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
4,"Ilusão (Cracolândia)","MC Hariel",3687478,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
5,"Figurinha - Ao Vivo","Douglas & Vinicius",3570492,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
6,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",3473748,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
7,"Só Você","MC Rogerinho",3459335,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
8,Rita,Tierry,3406046,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
9,"Cidade Inteira","Eric Land",3327292,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
10,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",3218118,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
11,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",3054402,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
12,"Quero Você do Jeito Que Quiser","Marília Mendonça",3011702,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
13,"Sogra - Ao Vivo",Dilsinho,2864122,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
14,"Tá Rocheda","Os Barões Da Pisadinha",2839555,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
15,"Oh Juliana",Niack,2737241,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
16,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",2730117,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
17,"Nem Doeu - Ao Vivo","Matheus & Kauan",2722496,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
18,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2464540,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
19,"Comprei um Lança","Mc Jacaré",2401251,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
20,"Me Gusta (with Cardi B & Myke Towers)",Anitta,2388472,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
21,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",2267652,https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
22,"Vai Ter Que Aguentar","Mc Don Juan",2249126,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
23,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",2243544,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
24,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",2202694,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
25,positions,"Ariana Grande",2187864,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
26,Ranking,"Jorge & Mateus",2186163,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
27,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2170884,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom
28,"Amor e Fé - Acústico","Hungria Hip Hop",2156775,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
29,"Não Vai Embora",Dilsinho,2139153,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
30,"Desejando Eu (Ao Vivo)","Murilo Huff",2129354,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
31,Letícia,"Zé Vaqueiro",2119313,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
32,"Desce Pro Play (PA PA PA)","Mc Zaac",2016104,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
33,"Lance Individual","Jorge & Mateus",2009903,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
34,"Briga Feia - Ao Vivo","Henrique & Juliano",1970640,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
35,"Rainha da Favela",LUDMILLA,1964753,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
36,"Não Valeu","Wesley Safadão",1958853,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
37,"Viva Voz - Ao Vivo","Lauana Prado",1948205,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
38,"Litrão - Ao Vivo","Matheus & Kauan",1915500,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
39,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",1805989,https://open.spotify.com/track/4Y0gR2tYML083T6b2vhJrn
40,"Amor da Despedida","Os Barões Da Pisadinha",1802018,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
41,"Watermelon Sugar","Harry Styles",1798996,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
42,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",1769565,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
