,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Recairei - Ao Vivo","Os Barões Da Pisadinha",6719221,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
2,"MODO TURBO","Luísa Sonza",6678895,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
3,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",5861680,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
4,"Amor ou o Litrão","Petter Ferraz",5427280,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
5,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",5301451,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
6,"Investe Em Mim","Jonas Esticado",5045633,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
7,"Lance Individual","Jorge & Mateus",5042883,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
8,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",4719927,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
9,"Amor da Despedida","Os Barões Da Pisadinha",4221834,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
10,"Só Tem Eu","Zé Felipe",4121436,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
11,"Figurinha - Ao Vivo","Douglas & Vinicius",4019936,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
12,Rita,Tierry,4004712,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
13,Letícia,"Zé Vaqueiro",3863771,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
14,"Tá Rocheda","Os Barões Da Pisadinha",3772920,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
15,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",3722001,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
16,"De Menina pra Mulher - Ao Vivo","Gusttavo Lima",3648190,https://open.spotify.com/track/42P3wMiPfXQM93TYZotuPQ
17,"Rainha da Favela",LUDMILLA,3563259,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
18,"Ele É Ele, Eu Sou Eu","Wesley Safadão",3442566,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
19,"Cidade Inteira","Eric Land",3405572,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
20,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",3271749,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
21,"Ilusão (Cracolândia)","MC Hariel",3259881,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
22,"Sogra - Ao Vivo",Dilsinho,3172527,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
23,"Nem Doeu - Ao Vivo","Matheus & Kauan",3079981,https://open.spotify.com/track/260n4ECk9j4IEvTAVBYojl
24,"Quero Você do Jeito Que Quiser","Marília Mendonça",3064381,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
25,"Oh Juliana",Niack,3055577,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
26,"Só Você","MC Rogerinho",3040462,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
27,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",2972057,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
28,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2970710,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
29,"Maçã Verde","MC Hariel",2948293,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
30,"Facas - Ao Vivo","Diego & Victor Hugo",2837150,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
31,"ALÔ AMBEV - funk remix","DJ Lucas Beat",2821970,https://open.spotify.com/track/4yD8WmB9NJVz1qYLD98iS1
32,Nêga,"Tarcísio do Acordeon",2796898,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
33,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",2738109,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
34,"Espetinho - Ao Vivo","Gusttavo Lima",2736883,https://open.spotify.com/track/1UF3sCkxXH4OE7ja83GRzj
35,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2663441,https://open.spotify.com/track/4KLvGldnzUZU4xdELyWBom
36,"Desejando Eu (Ao Vivo)","Murilo Huff",2577197,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
37,"Amor e Fé - Acústico","Hungria Hip Hop",2510863,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
38,"Um Sabadão Desse Uma Lua Dessa","Mc Talibã",2479036,https://open.spotify.com/track/3KfyRuNdcCGsZb15sqrXDA
39,"Comprei um Lança","Mc Jacaré",2436138,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
40,"Não Valeu","Wesley Safadão",2428673,https://open.spotify.com/track/1GWUiFYLYEapxYHnASyOud
41,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2312925,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
42,"Briga Feia - Ao Vivo","Henrique & Juliano",2311043,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
43,"É Problema","Matheus & Kauan",2232947,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
44,"Elas Gostam de Gasolina - Ao Vivo","Anderson & Vei da Pisadinha",2210592,https://open.spotify.com/track/3tkEf7vw4zDBFAQxY1vdcv
45,"Foi Pá Pum","Simone & Simaria",2209090,https://open.spotify.com/track/6F7tttrdq7aUdxXVeo0nKp
46,"Ele Não Tem","Jonas Esticado",2152248,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
47,"Vai Ter Que Aguentar","Mc Don Juan",2036872,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
48,"Me Gusta (with Cardi B & Myke Towers)",Anitta,1958968,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
49,"Viva Voz - Ao Vivo","Lauana Prado",1946421,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
50,"Não Vai Embora",Dilsinho,1903618,https://open.spotify.com/track/28atBekPVlTdnU4M9Z7udd
51,"Romance Desapegado","Conde do Forró",1901494,https://open.spotify.com/track/54OqGd3dmug64db0ZtOtF4
52,"Litrão - Ao Vivo","Matheus & Kauan",1879398,https://open.spotify.com/track/4DngRKOpRPrkbzImUB0zgh
53,"Último Beijo","Bruno & Marrone",1876010,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
54,"Eu Tenho Medo","Zé Vaqueiro",1825303,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
55,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",1796534,https://open.spotify.com/track/4Y0gR2tYML083T6b2vhJrn
56,Ranking,"Jorge & Mateus",1733942,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
57,Deprê,"Marília Mendonça",1730697,https://open.spotify.com/track/2BRGOqLBHFJclDM6PB2dnd
58,"S de Saudade","Luíza & Maurílio",1700139,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
59,"Desce Pro Play (PA PA PA)","Mc Zaac",1678506,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
60,"Blinding Lights","The Weeknd",1657315,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
61,"Século 21","Leo Santana",1654765,https://open.spotify.com/track/79Uf0vVa7HwWKSgdpTwtRm
62,"Seu Beijo Joga Sujo","Avine Vinny",1626381,https://open.spotify.com/track/2enk2whIgJyoe0O9HRQZJV
63,"Pode Sumir","Luíza & Maurílio",1603309,https://open.spotify.com/track/7CDdyDigw7e3zFr3k7uKMY
64,positions,"Ariana Grande",1575764,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
65,"Despedida - Ao Vivo","Wesley Safadão",1563046,https://open.spotify.com/track/5LpLYzpV0HWKI2DlPmNywg
66,Hackearam-Me,Tierry,1544401,https://open.spotify.com/track/5NeBu4oKweDXIjhvYqtbLo
67,"Segunda Taça - Ao Vivo","João Bosco & Vinicius",1541131,https://open.spotify.com/track/1WTJdd2atKxhUrbvUHjNDt
68,"Manda Áudio","Di Propósito",1511528,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
69,777-666,Matuê,1505482,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
70,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",1494796,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
71,LARISSA,"PEDRO SAMPAIO",1482971,https://open.spotify.com/track/1wowgtxmcxyIDGkQ8S28gL
72,,,1470369,https://open.spotify.com/track/74kCf4Yd2jr91yinngEt0P
73,"Esses Vícios","Zé Neto & Cristiano",1461365,https://open.spotify.com/track/2InUVOBY515umeuwdQtsQ4
74,"Faz a Pose","MC Teteu",1449662,https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
75,"Poesia Acústica #9: Melhor Forma","Pineapple StormTv",1437951,https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk
76,"Vingadora - Ao Vivo","Gusttavo Lima",1416201,https://open.spotify.com/track/0vjQN0F7VjLSiw49em2hq1
77,"Watermelon Sugar","Harry Styles",1390226,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
78,"Poesia Acústica 10: Recomeçar","Pineapple StormTv",1332748,https://open.spotify.com/track/4pwFy4YPNGMxK2P2FfQfvt
79,"Café e Amor - Ao Vivo","Gusttavo Lima",1323873,https://open.spotify.com/track/7benotyTvLY2vUsDKtxbiA
80,"Eu Vou Tirar Você Do Cabaré","Israell Muniz",1323737,https://open.spotify.com/track/4dkMmfrNEIUMjoEIFHA2yy
81,"Graveto - Ao Vivo","Marília Mendonça",1280696,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
82,TOMA,"Luísa Sonza",1276692,https://open.spotify.com/track/7pDcS0EVMJR0YwjXmHcCRg
83,"se essa vida fosse um filme","GIULIA BE",1274865,https://open.spotify.com/track/0hDphSo7vI7gCjEPpD6gu0
84,"Deus é por nós","MC Marks",1271771,https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
85,Bandida,"Pabllo Vittar",1265267,https://open.spotify.com/track/2VFTgZwiAdrADSLrUNHWt9
86,"Don't Start Now","Dua Lipa",1263505,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
87,"Tá Faltando Eu","Luan Estilizado",1235638,https://open.spotify.com/track/3gY2oyydautEwY7SsQeF4Q
88,"É Só Botada","MC Levin",1214959,https://open.spotify.com/track/07c9lzwx1IIm101PnB4BZu
89,"Don't Say Goodbye (feat. Tove Lo)",Alok,1213621,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
90,"Party On My Own (feat. FAULHABER)",Alok,1188867,https://open.spotify.com/track/4c9Py6O1NeuYKbJ8Ok7mTl
91,"menina solta","GIULIA BE",1188356,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
92,"Alive (It Feels Like)",Alok,1186694,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
93,"Libera Ela - Ao Vivo","Maiara & Maraisa",1186263,https://open.spotify.com/track/0SJtvFn4vqgJPscSbEPaql
94,BRABA,"Luísa Sonza",1182074,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
95,Talarica,"Rennan da Penha",1155165,https://open.spotify.com/track/01mKvmXQLhr3MEoiAEAcP2
96,"Cabeça Voando","Os Barões Da Pisadinha",1153199,https://open.spotify.com/track/6wDzwmywQ2X8O0FN1IQGol
97,"Casa de Praia - Ao Vivo","Os Barões Da Pisadinha",1137806,https://open.spotify.com/track/6Teco2qa7OBfa7mjaMYSbO
98,"Mentira - Ao Vivo","Felipe Araújo",1116021,https://open.spotify.com/track/3oe0vGmQxem3DcarYMuzu1
99,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",1114577,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0
100,"Máquina do Tempo",Matuê,1109042,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
101,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",1099898,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
102,Avançada,"MC Kevinho",1095973,https://open.spotify.com/track/1fWITNjgwmKEonjikQUaa1
103,"Beijo das Galáxias","Eric Land",1091371,https://open.spotify.com/track/4z1hlWTFVq9ftrcCxxvcwt
104,"Meia Noite","Zé Vaqueiro",1088850,https://open.spotify.com/track/2ylAocQwOgzelMbW9KJL56
105,Cabaré,"Dj Guuga",1087532,https://open.spotify.com/track/0N2cvvlyEw5NFc00E3FB0D
106,"Cheirosa - Ao Vivo","Jorge & Mateus",1078910,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
107,Confidencial,"Wesley Safadão",1069778,https://open.spotify.com/track/767WBxhrD8kRfJ4cYZQO9G
108,"Então Toma - Ao Vivo","Matheus & Kauan",1066580,https://open.spotify.com/track/5yaXBGNko8lmFSOvKWo99j
