,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Oh Juliana",Niack,4798644,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
2,"Investe Em Mim","Jonas Esticado",4436979,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
3,"Me Gusta (with Cardi B & Myke Towers)",Anitta,4260445,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
4,"Recairei - Ao Vivo","Os Barões Da Pisadinha",3911323,https://open.spotify.com/track/71FrGl0XcpL3VId65tB5mg
5,"Máquina do Tempo",Matuê,3714636,https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8
6,"Quero Você do Jeito Que Quiser","Marília Mendonça",3389676,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI
7,"Comprei um Lança","Mc Jacaré",3315424,https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
8,"Sogra - Ao Vivo",Dilsinho,3172067,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
9,777-666,Matuê,3151449,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
10,"Desce Pro Play (PA PA PA)","Mc Zaac",3101049,https://open.spotify.com/track/4zGtfOglDBfVUypabBwIjQ
11,"Só Você","MC Rogerinho",3059104,https://open.spotify.com/track/59kRq8rb5uJCrSYYbGCk7o
12,"Tá Rocheda","Os Barões Da Pisadinha",2838662,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
13,"Figurinha - Ao Vivo","Douglas & Vinicius",2785284,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
14,"WAP (feat. Megan Thee Stallion)","Cardi B",2716648,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
15,"Volta por Baixo - Ao Vivo","Henrique & Juliano",2693492,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
16,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",2667450,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
17,"Vai Ter Que Aguentar","Mc Don Juan",2632303,https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
18,Ranking,"Jorge & Mateus",2625104,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
