,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bipolar,"Mc Davi",6198933,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
2,"Volta Bebê, Volta Neném","Dj Guuga",5821941,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
3,"Baby Me Atende","Matheus Fernandes",5214554,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
4,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",5097463,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
5,"Tipo Gin - Ao Vivo","MC Kevin o Chris",4694157,https://open.spotify.com/track/4llr8mcoauwrHBtjGb7F9S
6,"Vida Louca","Mc Poze do Rodo",4436732,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
7,Troca,"Jorge & Mateus",4342962,https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP
8,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",4329012,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
9,"Só Não Divulga","Fernando & Sorocaba",4321501,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
10,"good 4 u","Olivia Rodrigo",4032896,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
11,"Liberdade (Quando o Grave Bate Forte)",Alok,4016721,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
12,"Disco Arranhado - Funk Remix",Malu,3985358,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
13,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",3786796,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
14,"Não Nasceu pra Namorar","MC Zaquin",3601735,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
15,Paradigmas,"Jorge & Mateus",3538997,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
16,ATENÇÃO,"PEDRO SAMPAIO",3467391,https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED
17,"Tapão Na Raba","Raí Saia Rodada",3334313,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
18,"Ele É Ele, Eu Sou Eu","Wesley Safadão",3315249,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
19,"Facas - Ao Vivo","Diego & Victor Hugo",3268385,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
20,"A Cara do Crime (Nós Incomoda)","Mc Poze do Rodo",3152284,https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza
21,Passatempo,"Wesley Safadão",3057652,https://open.spotify.com/track/3ODFNdnvb3EwcXk6DI6tGA
22,"Preta do Cabelo Cacheado","Th CDM",2924190,https://open.spotify.com/track/3lJ8BcGM1ROQ1ufneU3Qya
23,"Ficha Limpa","Gusttavo Lima",2812880,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
24,"Volta Comigo BB","Zé Vaqueiro",2760530,https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc
25,"Ela é Espetacular (Mulher Kama Sutra 2)","Mc Livinho",2752315,https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds
26,"É Problema","Matheus & Kauan",2703026,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
27,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",2637733,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
28,"Pingo de Dó - Ao Vivo","Hugo & Guilherme",2484861,https://open.spotify.com/track/1a17gIb57XhPj2CMbqYABw
29,"MONTERO (Call Me By Your Name)","Lil Nas X",2480855,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
30,Plutão,VMZ,2446643,https://open.spotify.com/track/3ydmNkAyYq0AKtG8sTfE9P
31,"Não Pode Se Apaixonar","Xand Avião",2441139,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
32,"Troca de Calçada","Marília Mendonça",2393154,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
33,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",2289376,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
34,"Foi Pá Pum","Simone & Simaria",2287769,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
35,"Não, Não Vou","Mari Fernandez",2244944,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
36,"deja vu","Olivia Rodrigo",2242973,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
37,"Vou falar que não quero","Vitor Fernandes",2221481,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
38,Acaso,"Vitor Fernandes",2199206,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
39,Morena,NATTAN,2178016,https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX
40,"Deixa de Onda (Porra Nenhuma)",DENNIS,2157290,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
41,"Último Beijo","Bruno & Marrone",2067726,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
42,"Ô Moça","MC Zaquin",2050050,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
43,"favorite crime","Olivia Rodrigo",1922386,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
44,traitor,"Olivia Rodrigo",1890247,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
45,"drivers license","Olivia Rodrigo",1885715,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
46,"Freio da Blazer",L7NNON,1865819,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
47,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",1832803,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
48,"Ele Não Tem","Jonas Esticado",1772851,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
49,"Meu Pedaço de Pecado","João Gomes",1766669,https://open.spotify.com/track/7mz8C0h5Lug50qYq6KH0wp
50,"FALA MAL DE MIM","PEDRO SAMPAIO",1720489,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
51,"Cadê o Amor","Zé Vaqueiro",1710360,https://open.spotify.com/track/1EHFiKkrppC5kXImn8LFBr
52,Vagabundo,"Matheus & Kauan",1654625,https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia
53,M4,Teto,1586631,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
54,"Desbloqueado - Ao Vivo","Diego & Victor Hugo",1581887,https://open.spotify.com/track/66HWIQEq6xO0IZ47AHrybG
55,"Localiza Aí BB","Vitor e Luan",1577877,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
56,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",1538709,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
57,Sigilo,"Guilherme & Benuto",1537398,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
58,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1502016,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
59,"Lance Individual","Jorge & Mateus",1483135,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
60,"Esqueceu Foi Porra","Eric Land",1482187,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
61,Saturno,BIN,1469335,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
62,"Leave The Door Open","Bruno Mars",1437305,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
63,Butter,BTS,1411037,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
64,Mds,Kawe,1374532,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
65,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",1370564,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
66,Gueto,IZA,1350004,https://open.spotify.com/track/2AzBHIVlSYb0fx8zHWQIgl
67,"Vou Te Botar","MC Meno K",1345836,https://open.spotify.com/track/3O9i9fpKuzebZezXUwJh69
68,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",1343459,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
69,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1336536,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
70,"Eu Tenho Medo","Zé Vaqueiro",1332704,https://open.spotify.com/track/7yjduLSgPntFlq79Cuzrfz
71,"Girl From Rio",Anitta,1316699,https://open.spotify.com/track/2plRom0urixt6BE8t7kOhQ
72,"Doutora 3","Mc Kevin",1297417,https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv
73,happier,"Olivia Rodrigo",1265454,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
74,"Watermelon Sugar","Harry Styles",1265317,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
75,"Espirra o Lança","Dj Serpinha",1264633,https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
76,"Fala Comigo - Ao Vivo","Gusttavo Lima",1260730,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
77,"Corte Americano","Filipe Ret",1240747,https://open.spotify.com/track/68qqVn5kHBv4zc45SDGLnh
78,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",1235801,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
79,"Amor da Despedida","Os Barões Da Pisadinha",1230586,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
80,"Levitating (feat. DaBaby)","Dua Lipa",1219376,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
81,"Preta do Cabelo Cacheado","Mc Don Juan",1214138,https://open.spotify.com/track/0Ve3XWcrsgy90xo0UL2syx
82,"Na Ponta do Pé - Brega Funk","Nadson O Ferinha",1209677,https://open.spotify.com/track/4VBhrKEJ9nWzaiyhM5L9ic
83,"Blinding Lights","The Weeknd",1207788,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
84,"Uma Ex (Ao Vivo)","Murilo Huff",1204774,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
85,"Investe Em Mim","Jonas Esticado",1193814,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
86,"Pede Pra Voltar","Cleber & Cauan",1163671,https://open.spotify.com/track/5IjLkZBAHwd77I2gAOKZLC
87,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1139174,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
88,"Coração de Isca","Bruno & Marrone",1119164,https://open.spotify.com/track/2Nlf97QqqcZ2x9Qb4h1Qt2
89,"Baile do Cinga do 12","MC Gontijo",1114832,https://open.spotify.com/track/2uLt06E9xCZVPFXg9v794o
90,"Kiss Me More (feat. SZA)","Doja Cat",1109967,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
91,"Maçã Verde","MC Hariel",1108062,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
92,"jealousy, jealousy","Olivia Rodrigo",1097619,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
93,"Ei Tudo Bem","MC Zaquin",1090594,https://open.spotify.com/track/3yNHwvq8n95NJTBILYEciD
94,Privilégio,"MC Luan da BS",1087657,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
95,Galega,"Zé Felipe",1077988,https://open.spotify.com/track/1vims9R9tOTb8f4Hx3JD0B
96,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",1049566,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
97,"MODO TURBO","Luísa Sonza",1036281,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
98,"Os Menino da Pecuária","Léo & Raphael",1021181,https://open.spotify.com/track/49QpcTWIP16YgGLmiPDvTI
99,"Amor e Fé - Acústico","Hungria Hip Hop",1019884,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
100,brutal,"Olivia Rodrigo",1011190,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
101,"Apê 1001",BIN,1006901,https://open.spotify.com/track/3q6ZCGgFDIVCJQ5XG4JTL2
102,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1001115,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
103,"Nem On Nem Off",POCAH,993910,https://open.spotify.com/track/6bgZv4VkqjBIS2vawz3RsU
104,"Volta por Baixo - Ao Vivo","Henrique & Juliano",980998,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
105,"Espetinho - Ao Vivo","Gusttavo Lima",979080,https://open.spotify.com/track/52yvnBV90B2ZUC5b25cFer
106,"Don't Say Goodbye (feat. Tove Lo)",Alok,978962,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
107,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",970422,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
108,"Cai de vagarinho até embaixo","Mc Rennan",969991,https://open.spotify.com/track/2p04GXqx4j9sggMTFJpEBa
109,"Deixa Eu Falar pra Você","Josué Bom de Faixa",962940,https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD
