,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",8170892,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
2,"Tapão Na Raba","Raí Saia Rodada",7024305,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
3,"Ele É Ele, Eu Sou Eu","Wesley Safadão",5840919,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
4,"Facas - Ao Vivo","Diego & Victor Hugo",5789493,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
5,"Esquema Preferido","DJ Ivis",5551612,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
6,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",5080871,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
7,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",4048710,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
8,M4,Teto,4001571,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
9,"Lance Individual","Jorge & Mateus",3927504,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
10,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",3873307,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
11,"Troca de Calçada","Marília Mendonça",3751295,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
12,Paradigmas,"Jorge & Mateus",3586367,https://open.spotify.com/track/158ukl5rih76dOEsp0I91H
13,"Foi Pá Pum","Simone & Simaria",3415944,https://open.spotify.com/track/1Cqg0nJOZRyvltkof8tjqA
14,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",3390324,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
15,Mds,Kawe,3389907,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
16,Acaso,"Vitor Fernandes",3291928,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
17,"FALA MAL DE MIM","PEDRO SAMPAIO",3264958,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
18,"Amor da Despedida","Os Barões Da Pisadinha",3252556,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
19,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",3093136,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
20,"Deixa de Onda (Porra Nenhuma)",DENNIS,3064201,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
21,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",3002890,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
22,"Último Beijo","Bruno & Marrone",2995737,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
23,"Fala Comigo - Ao Vivo","Gusttavo Lima",2796292,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
24,Xerecard,"Jeff Costa",2773295,https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
25,"Ô Moça","MC Zaquin",2728589,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
26,"Recairei - Ao Vivo","Os Barões Da Pisadinha",2700597,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
27,"Ele Não Tem","Jonas Esticado",2692894,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
28,Saturno,BIN,2580664,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
29,"É Problema","Matheus & Kauan",2572093,https://open.spotify.com/track/43VBV6uVyKAHbtrRpizoRK
30,"MODO TURBO","Luísa Sonza",2511313,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
31,"Investe Em Mim","Jonas Esticado",2278262,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
32,"Maçã Verde","MC Hariel",2229336,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
33,"Só Não Divulga","Fernando & Sorocaba",2209168,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
34,"Amor e Fé - Acústico","Hungria Hip Hop",2053846,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
35,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",2035937,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
36,Privilégio,"MC Luan da BS",1894865,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
37,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1890850,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
38,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",1890054,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
39,"Disco Arranhado - Funk Remix",Malu,1889201,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
