,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",8807171,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
2,"Disco Arranhado - Funk Remix",Malu,6735291,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
3,"Tapão Na Raba","Raí Saia Rodada",5814333,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
4,"Facas - Ao Vivo","Diego & Victor Hugo",5390002,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
5,"Ele É Ele, Eu Sou Eu","Wesley Safadão",5303633,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
6,"Liberdade (Quando o Grave Bate Forte)",Alok,4822814,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
7,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",4689696,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
8,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",4598726,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
9,Paradigmas,"Jorge & Mateus",4251830,https://open.spotify.com/track/158ukl5rih76dOEsp0I91H
10,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",4105403,https://open.spotify.com/track/7cgF1aSGBXWlTgNbon3g2p
11,M4,Teto,3851365,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
12,"Lance Individual","Jorge & Mateus",3603390,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
13,"Não Pode Se Apaixonar","Xand Avião",3583101,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
14,Acaso,"Vitor Fernandes",3452696,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
15,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",3443665,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
16,"MONTERO (Call Me By Your Name)","Lil Nas X",3412913,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
17,"Troca de Calçada","Marília Mendonça",3383946,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
18,"FALA MAL DE MIM","PEDRO SAMPAIO",3373869,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
19,"Último Beijo","Bruno & Marrone",3222650,https://open.spotify.com/track/2pBEAodCImE4LgbKAG4bfz
20,"Deixa de Onda (Porra Nenhuma)",DENNIS,3195520,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
21,"Foi Pá Pum","Simone & Simaria",3137390,https://open.spotify.com/track/1Cqg0nJOZRyvltkof8tjqA
22,"É Problema","Matheus & Kauan",3033579,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
23,"Só Não Divulga","Fernando & Sorocaba",2891699,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
24,Mds,Kawe,2858446,https://open.spotify.com/track/0QglpM23kl9ldvVdoYNZwF
25,"Vida Louca","Mc Poze do Rodo",2817896,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
26,"Amor da Despedida","Os Barões Da Pisadinha",2776094,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
27,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",2750098,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
28,"Fala Comigo - Ao Vivo","Gusttavo Lima",2742423,https://open.spotify.com/track/56F3ngwk3a42aLY0o5QgBF
29,"Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",2694383,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
30,"Ô Moça","MC Zaquin",2674085,https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH
31,"Ele Não Tem","Jonas Esticado",2662737,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
32,"Pulei na Piscina - Ao Vivo","Guilherme & Benuto",2485028,https://open.spotify.com/track/1uA7fD01YlQr1Rm0oyNB4H
33,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2446597,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
34,"Vou falar que não quero","Vitor Fernandes",2419714,https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
35,"Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha",2308498,https://open.spotify.com/track/3rRin3LyLY92kpEbkCgwf4
36,"Cai de vagarinho até embaixo","Mc Rennan",2138217,https://open.spotify.com/track/2p04GXqx4j9sggMTFJpEBa
37,Saturno,BIN,2132890,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
38,"Freio da Blazer",L7NNON,2006774,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
39,"Recairei - Ao Vivo","Os Barões Da Pisadinha",1988434,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP
40,"MODO TURBO","Luísa Sonza",1955140,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
41,"Maçã Verde","MC Hariel",1954727,https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR
42,Sigilo,"Guilherme & Benuto",1937543,https://open.spotify.com/track/6vnKRiOjUjYT59xl4awHTx
43,"Preta do Cabelo Cacheado","Th CDM",1929484,https://open.spotify.com/track/3lJ8BcGM1ROQ1ufneU3Qya
44,"Espirra o Lança","Dj Serpinha",1870297,https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
45,"Tudo Indica (feat. Jorge & Mateus) - Ao Vivo","Marcos & Belutti",1853212,https://open.spotify.com/track/0eoMMLrWtXbLk64baeESkc
46,"Volta Bebê, Volta Neném","Dj Guuga",1823780,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
47,"Amarelo, azul e branco",ANAVITÓRIA,1806909,https://open.spotify.com/track/2LOIoeI16A8jjKubPKoCSa
48,"Amor e Fé - Acústico","Hungria Hip Hop",1796989,https://open.spotify.com/track/5ra6CI0pEzqjxPEZeBz0d7
49,"Heartbreak Anniversary",Giveon,1788065,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
50,"Investe Em Mim","Jonas Esticado",1745024,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
51,"Baby Me Atende","Matheus Fernandes",1603140,https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
52,"Cidade Inteira","Eric Land",1581743,https://open.spotify.com/track/7J3QMuDCSv56jRSiD9jFBF
53,"Astronaut In The Ocean","Masked Wolf",1573648,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
54,"Esquema Preferido - Ao Vivo","Os Barões Da Pisadinha",1514232,https://open.spotify.com/track/35qOGx1CWvCkQFOv4BkVIV
55,Xerecard,"Jeff Costa",1499020,https://open.spotify.com/track/1O74aTse7W5hd2rAvnEVaW
56,"Volta Comigo BB","Zé Vaqueiro",1497905,https://open.spotify.com/track/2N2MrTCpwNQdbvlk0Kmz3c
57,"Espetinho - Ao Vivo","Gusttavo Lima",1489394,https://open.spotify.com/track/52yvnBV90B2ZUC5b25cFer
58,"Esqueceu Foi Porra","Eric Land",1474469,https://open.spotify.com/track/2xlw13Ns5yz9XZGtfnpPN9
59,"Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix","MC 2jhow",1464218,https://open.spotify.com/track/2Xgc216OMnc9PyUalpaSPc
60,Privilégio,"MC Luan da BS",1463080,https://open.spotify.com/track/2ASs0n7ukfyxAxDtdir4vF
61,"Blinding Lights","The Weeknd",1462428,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
62,"Alô Ex-Amor - Ao Vivo","João Bosco e Gabriel",1430645,https://open.spotify.com/track/2QCwoYDn4DRfjs4NhW2KpO
63,"Sogra - Ao Vivo",Dilsinho,1424715,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
64,"Watermelon Sugar","Harry Styles",1381592,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
65,telepatía,"Kali Uchis",1380907,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
66,"Bloqueia Eu - Remix","DJ Lucas Beat",1275760,https://open.spotify.com/track/0VxVv5IKWXj5o6FVO7zKXN
67,"Uma Ex (Ao Vivo)","Murilo Huff",1259640,https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT
68,"F* F* M*","Filipe Ret",1257546,https://open.spotify.com/track/2D13ouGidILQGRVnihYuCF
69,"Tá Rocheda","Os Barões Da Pisadinha",1256984,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
70,"Alive (It Feels Like)",Alok,1253950,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
71,"drivers license","Olivia Rodrigo",1253693,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
72,"Leave The Door Open","Bruno Mars",1247975,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
73,"Eu Tenho Medo","Zé Vaqueiro",1232699,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
74,"Volta por Baixo - Ao Vivo","Henrique & Juliano",1231812,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
75,"Uma Cavala Mesmo","MC Meno K",1206317,https://open.spotify.com/track/1bK6UaFcArJvIaMeKPTFSm
76,"Tipo Gringa","DJ Matt D",1203223,https://open.spotify.com/track/3oxk3UVbKJiPcPokw9h64D
77,"Figurinha - Ao Vivo","Douglas & Vinicius",1200958,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
78,"Ilusão (Cracolândia)","MC Hariel",1193973,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
79,Hackearam-Me,Tierry,1190457,https://open.spotify.com/track/6yxLcncvmcQ39FyGGTq2DP
80,"Localiza Aí BB","Vitor e Luan",1187582,https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah
81,"Amor ou o Litrão","Petter Ferraz",1179009,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
